grupo,outcome,n_municipios,n_con_outcome,n_tratados,att,se,ic_inf,ic_sup
Capacidad fiscal alta,loss_area_ha,500,500,44,-236.08623290536394,177.1919759841059,-583.3825058342115,111.21004002348366
Capacidad fiscal baja,loss_area_ha,502,502,31,20.581829393323442,52.00197112282491,-81.34203400741337,122.50569279406027
