grupo,n_municipios,n_tratados,n_validos_outcome,att,se,ic_inf,ic_sup
IPM bajo (menos pobreza),557,39,466,4.9963827863533364e-5,7.019460670568859e-4,-0.001325850463567963,0.00142577811929503
IPM alto (más pobreza),556,48,499,-2.679561620624014e-4,4.439200833363897e-4,-0.0011380395254017251,6.021272012769225e-4
