grupo,n_municipios,n_tratados,n_validos_outcome,att,se,ic_inf,ic_sup
IPM bajo (menos pobreza),557,44,466,3.1490670456811766e-4,5.67608848027968e-4,-7.976066375666997e-4,0.001427420046702935
IPM alto (más pobreza),556,53,499,-1.2882391039703247e-5,4.570325965669662e-4,-9.086662803109569e-4,8.829014982315505e-4
