especificacion,att,se,ic_inf,ic_sup
Confianza alta - sin covariables,-125.46431148092232,83.3997837341371,-288.927887599831,37.9992646379864
Confianza alta - doblemente robusto (con covariables),-57.503239232679846,81.3615763441352,-216.97192886718483,101.96545040182514
Confianza alta - muestra reponderada (PSM),-178.13991728725804,84.75941849156737,-344.2683775307301,-12.011457043785981
Todas las fuentes - sin covariables,-105.8574555221338,70.6342030605992,-244.30049352090822,32.585582476640624
Todas las fuentes - doblemente robusto (con covariables),-54.86394223240616,72.05606024725333,-196.09382031702268,86.36593585221037
Todas las fuentes - muestra reponderada (PSM),-149.70000065662924,70.14950806681907,-287.19303646759465,-12.206964845663862
