grupo,n_municipios,n_tratados,att,se,ic_inf,ic_sup
Capacidad fiscal alta,500,49,-212.51206521620094,145.10949978463697,-496.9266847940894,71.90255436168752
Capacidad fiscal baja,502,35,46.64893513488139,39.9108674254516,-31.576365019003738,124.87423528876653
