covariable,smd_principal,smd_sin_tempranas
distance,0.0045826999612943965,0.004705788312950094
log_defor_pre_media,-0.04133652446384335,0.07616835507570831
defor_pre_tendencia,-0.037776969209050625,0.00532610506197162
log_baseline_forest,0.08308984253169165,0.04958136238265668
temp_media_c_base,0.005239808437278468,0.008552921815352391
prec_anual_mm_base,0.05217962648885742,-0.028574903888021017
altura_base,-0.018600442253213334,-0.03218416020446531
discapital_base,0.06455596167972898,0.07174866199747423
disbogota_base,0.01218546136860523,0.0729363031956824
distancia_mercado_base,0.09017799627682963,0.09310406851429233
H_coca_base,0.020194885522192035,0.008046846588353376
homicidios_base,-0.08334539552818088,-0.06818930077011838
o_desplaza_base,-0.038745474272831495,0.06013556290478822
