covariable,media_tratados_antes,media_tratados_despues,media_controles_antes,media_controles_despues,dif_estandarizada_antes,dif_estandarizada_despues,razon_varianzas_antes,razon_varianzas_despues,ecdf_media_antes,ecdf_media_despues,ecdf_max_antes,ecdf_max_despues,mejora_abs
distance,0.2151819827668377,0.20776547287903413,0.06533818925116945,0.2084196965145173,0.8058747244227281,-0.0035184793416265917,5.103763222276992,0.9665111768644885,0.311184403070758,0.004358919920854957,0.5283437267835837,0.023529411764705965,0.8023562450811015
log_defor_pre_media,4.875019434153518,4.874753944715179,3.7181480121427457,4.8724544192747805,0.7312384480226217,0.0014534903207332691,0.9975853676647937,1.0363348719844667,0.2024577702810331,0.022188923916007755,0.33276300682140525,0.07988692165988659,0.7297849577018884
defor_pre_tendencia,0.23187286869669796,0.235579592650578,-0.03317280704415689,0.2524691103124444,0.4400135556653239,-0.028039003839988277,0.8884022230042383,1.0170699769889955,0.1169082123755564,0.033051809772671574,0.2406402665526014,0.12126612663883606,0.41197455182533566
log_baseline_forest,11.09123992289491,11.103633545911489,9.655858803185037,10.932842412499921,0.8157404518761788,0.09706219096274382,1.3964601021574117,1.606915767328739,0.24869294357065935,0.02946827748992419,0.3830230306850672,0.09448123019603631,0.718678260913435
temp_media_c_base,21.103146191930332,21.158730143926878,19.513582192579836,21.37623827303799,0.3452064406748934,-0.04723635355291315,0.8325978516776449,1.3003882794215946,0.0916256169326185,0.04790582793349479,0.1854161507463023,0.12515313710993045,0.29797008712198025
prec_anual_mm_base,2994.806037953181,3010.3562114487054,1866.2132608018214,3016.6333171705555,0.6658774299264706,-0.003703535154630671,2.569703976028719,1.079576405605195,0.23481088575383322,0.03208280575788196,0.44506855174587456,0.1019626519464433,0.66217389477184
altura_base,883.3837209302326,876.4235294117647,1153.6311713455952,850.3095318531949,-0.2988417141361242,0.028877059825560204,0.9690751400621813,1.223158098007954,0.10070878537682611,0.04625265730005146,0.2366779981539431,0.1573453879899625,0.269964654310564
discapital_base,94.45424463953488,95.56547104705882,80.22973653736689,92.48959412323244,0.19522426380457478,0.04221487335059163,1.51429987363351,1.1632695741688497,0.07530157968345468,0.01677931587321014,0.15153425336004867,0.055781278630434084,0.15300939045398315
disbogota_base,354.4331376395349,355.4930684352941,318.8347533610842,341.21953128553116,0.19718260579707925,0.0790623874138977,0.8508356241452633,1.2208125507222163,0.0718485110752812,0.03930533921318718,0.22153808055111554,0.11272007247251771,0.11812021838318154
distancia_mercado_base,112.01136362790697,113.3291443764706,64.88286742420136,92.19232598181092,0.30747657449226573,0.1379012071075601,2.5511359276548062,1.4450272605816286,0.07923807939894789,0.074493348393307,0.20552016029176706,0.141932461688844,0.16957536738470563
H_coca_base,257.9840697674419,261.01917647058826,110.84447241045498,212.47459847834975,0.1332267289197298,0.04395441776970132,2.1095110853392365,2.4396254155593,0.07803337377091342,0.058956975302516104,0.1948940768590018,0.11478397497311559,0.08927231115002848
homicidios_base,71.36046511627907,49.56470588235294,15.94675701839303,76.21310101491649,0.20343070561512142,-0.09782961673945038,12.954502369820684,0.31026905283991707,0.09922141510920666,0.03889936625725137,0.20276233143474642,0.11742311518230011,0.10560108887567103
o_desplaza_base,1224.6162790697674,1185.835294117647,557.7463697967086,1212.4733695726127,0.3168051644219707,-0.012654761831426069,2.1513723506848486,0.8353199496236113,0.1912821961010635,0.032292949609458305,0.30270830050203745,0.07978453583197129,0.30415040259054466
