grupo,n_municipios,n_tratados,att,se,ic_inf,ic_sup
Capacidad fiscal alta,500,44,-247.57746243686398,177.26680534472712,-595.0204009125291,99.86547603880115
Capacidad fiscal baja,502,31,42.30814693239862,46.889851512554586,-49.59596203220837,134.2122558970056
