projectName,_nom_exp,methodology,afolu_activities,clase_metodologia,motivo_metodologia,clase_titulo,status_registro,estado_registro,es_wrc,metodo_match,score_match,COD_DANE,NOMBRE_MPI,requiere_revision
AXIA Energia Cogeneration Project in Unibol,AXIA Energia Cogeneration Project in Unibol,AMS-II.D. (Version 13),,NO_AFOLU,metodologia AMS-II.D. fuera de AFOLU,no_REDD_por_titulo,Pipeline listing (under development) approved,S1,False,id,1.0,8758,SOLEDAD,False
"Bionersis landfill  project in Pasto, Colombia","Bionersis landfill  project in Pasto, Colombia",AMS-III.G. (Version NA),,NO_AFOLU,metodologia AMS-III.G. fuera de AFOLU,no_REDD_por_titulo,Late to Verify,S2,False,id,1.0,52001,PASTO,False
"Bionersis landfill project in Pasto, Colombia","Bionersis landfill project in Pasto, Colombia",ACM0001 (Version NA),,NO_AFOLU,metodologia ACM0001 fuera de AFOLU,no_REDD_por_titulo,Late to Verify,S2,False,id,1.0,86757,SAN MIGUEL,False
Caruquia 9.76 MW Hydroelectric Project,Caruquia 9.76 MW Hydroelectric Project,AMS-I.D. (Version NA),,NO_AFOLU,metodologia AMS-I.D. fuera de AFOLU,no_REDD_por_titulo,Late to Verify,S2,False,id,1.0,5686,SANTA ROSA DE OSOS,False
Curva de Rodas and La Pradera landfill gas management project,Curva de Rodas and La Pradera landfill gas management project,ACM0001 (Version NA),,NO_AFOLU,metodologia ACM0001 fuera de AFOLU,no_REDD_por_titulo,Late to Verify,S2,False,id,1.0,5212,COPACABANA,False
El Estero biogas recovery and utilization,El Estero biogas recovery and utilization,AMS-III.H. (Version NA),,NO_AFOLU,metodologia AMS-III.H. fuera de AFOLU,no_REDD_por_titulo,Under validation (Public comment period open),S1,False,id,1.0,85139,MANÍ,False
El Molino-San Matias hydroelectric projects,El Molino-San Matias hydroelectric projects,ACM0002 (Version 18.1),,NO_AFOLU,metodologia ACM0002 fuera de AFOLU,no_REDD_por_titulo,Verification approval requested,S2,False,id,1.0,5197,COCORNÁ,False
Electric Mobility Program Colombia,Electric Mobility Program Colombia,VM0038 (Version 1),,NO_AFOLU,metodologia VM0038 fuera de AFOLU,no_REDD_por_titulo,Registration requested,S1,False,id,1.0,50573,PUERTO LÓPEZ,False
EPM Grouped Natural Gas Project,EPM Grouped Natural Gas Project,ACM0009 (Version NA),,NO_AFOLU,metodologia ACM0009 fuera de AFOLU,no_REDD_por_titulo,Under validation (Public comment period closed),S1,False,id,1.0,5615,RIONEGRO,False
Escuela de Minas Hydroelectric Project,Escuela de Minas Hydroelectric Project,ACM0002 (Version 17),,NO_AFOLU,metodologia ACM0002 fuera de AFOLU,no_REDD_por_titulo,Registered,S3,False,id,1.0,5440,MARINILLA,False
GUACHICONO SMALL HYDROELECTRIC PROJECT,GUACHICONO SMALL HYDROELECTRIC PROJECT,AMS-I.D. (Version 18),,NO_AFOLU,metodologia AMS-I.D. fuera de AFOLU,no_REDD_por_titulo,Late to Verify,S2,False,id,1.0,19392,LA SIERRA,False
Guanaquitas 9.74 MW Hydroelectric Project,Guanaquitas 9.74 MW Hydroelectric Project,AMS-I.D. (Version NA),,NO_AFOLU,metodologia AMS-I.D. fuera de AFOLU,no_REDD_por_titulo,Late to Verify,S2,False,id,1.0,5686,SANTA ROSA DE OSOS,False
Hydroelectric Project Aures Bajo,Hydroelectric Project Aures Bajo,ACM0002 (Version NA),,NO_AFOLU,metodologia ACM0002 fuera de AFOLU,no_REDD_por_titulo,Pipeline listing (under development) approved,S1,False,id,1.0,5756,SONSÓN,False
Hydroelectric Project Cantayus,Hydroelectric Project Cantayus,ACM0002 (Version NA),,NO_AFOLU,metodologia ACM0002 fuera de AFOLU,no_REDD_por_titulo,Pipeline listing (under development) approved,S1,False,id,1.0,5690,SANTO DOMINGO,False
Hydroelectric Project El Edén,Hydroelectric Project El Edén,ACM0002 (Version 13),,NO_AFOLU,metodologia ACM0002 fuera de AFOLU,no_REDD_por_titulo,Registered,S3,False,id,1.0,17541,PENSILVANIA,False
HYDROELECTRIC PROJECT ITUANGO,HYDROELECTRIC PROJECT ITUANGO,ACM0002 (Version NA),,NO_AFOLU,metodologia ACM0002 fuera de AFOLU,no_REDD_por_titulo,Registered,S3,False,id,1.0,5107,BRICEÑO,False
Hydroelectric Project MULATOS II,Hydroelectric Project MULATOS II,ACM0002 (Version NA),,NO_AFOLU,metodologia ACM0002 fuera de AFOLU,no_REDD_por_titulo,Registered,S3,False,id,1.0,5792,TARSO,False
Hydroelectric Project PCH Luzma,Hydroelectric Project PCH Luzma,ACM0002 (Version NA),,NO_AFOLU,metodologia ACM0002 fuera de AFOLU,no_REDD_por_titulo,Registered,S3,False,id,1.0,5031,AMALFI,False
Hydroelectric projects at Oibita River,Hydroelectric projects at Oibita River,ACM0002 (Version 19),,NO_AFOLU,metodologia ACM0002 fuera de AFOLU,no_REDD_por_titulo,Registered,S3,False,id,1.0,68500,OIBA,False
La Cascada 2.3 MW Hydroelectric Project,La Cascada 2.3 MW Hydroelectric Project,ACM0002 (Version NA),,NO_AFOLU,metodologia ACM0002 fuera de AFOLU,no_REDD_por_titulo,Late to Verify,S2,False,id,1.0,5670,SAN ROQUE,False
Montanitas Hydroelectric Project,Montanitas Hydroelectric Project,ACM0002 (Version 13),,NO_AFOLU,metodologia ACM0002 fuera de AFOLU,no_REDD_por_titulo,Registered,S3,False,id,1.0,5237,DONMATÍAS,False
Multimodal Transport on the Magdalena River by Impala Terminals,Multimodal Transport on the Magdalena River by Impala Terminals,AM0090 (Version NA),,NO_AFOLU,metodologia AM0090 fuera de AFOLU,no_REDD_por_titulo,Pipeline listing requested (under development),S1,False,id,1.0,68081,BARRANCABERMEJA,False
San Andres Hydroelectric project,San Andres Hydroelectric project,ACM0002 (Version 13),,NO_AFOLU,metodologia ACM0002 fuera de AFOLU,no_REDD_por_titulo,Withdrawn,S1,False,id,1.0,5647,SAN ANDRÉS DE CUERQUÍA,False
Santa Ana Hydroelectric Plant - CER Conversion,Santa Ana Hydroelectric Plant - CER Conversion,AMS-I.D. (Version NA),,NO_AFOLU,metodologia AMS-I.D. fuera de AFOLU,no_REDD_por_titulo,Units transferred from approved GHG program,S2,False,id,1.0,25845,UNE,False
Santa Rosa - Altamira hydroelectric projects,Santa Rosa - Altamira hydroelectric projects,ACM0002 (Version 19),,NO_AFOLU,metodologia ACM0002 fuera de AFOLU,no_REDD_por_titulo,Late to Verify,S2,False,id,1.0,68770,SUAITA,False
SOLAR GROUPED PROJECT BY EPSA-CELSIA,SOLAR GROUPED PROJECT BY EPSA-CELSIA,"ACM0002 (Version NA), AMS-I.D. (Version NA)",,NO_AFOLU,metodologia ACM0002/AMS-I.D. fuera de AFOLU,no_REDD_por_titulo,Verification approval requested,S2,False,id,1.0,11001,"BOGOTÁ, D.C.",False
Suba and Usaquen Hydroelectric Umbrella Project,Suba and Usaquen Hydroelectric Umbrella Project,AMS-I.D. (Version 18),,NO_AFOLU,metodologia AMS-I.D. fuera de AFOLU,no_REDD_por_titulo,Registered,S3,False,id,1.0,11001,"BOGOTÁ, D.C.",False
WIND POWER GROUPED PROJECT BY CELSIA COLOMBIA - BEGONIA POWER,WIND POWER GROUPED PROJECT BY CELSIA COLOMBIA - BEGONIA POWER,"ACM0002 (Version NA), AMS-I.D. (Version NA)",,NO_AFOLU,metodologia ACM0002/AMS-I.D. fuera de AFOLU,no_REDD_por_titulo,Late to Verify,S2,False,id,1.0,44430,MAICAO,False
ACABA REDD+ Project,ACABA REDD+ Project,VM0009 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0009,REDD_por_titulo,Pipeline listing (under development) approved,S1,False,id,1.0,27025,ALTO BAUDÓ,False
Acapa -­ Bajo Mira Y Frontera REDD+ Project,Acapa -­ Bajo Mira Y Frontera REDD+ Project,VM0006 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0006,REDD_por_titulo,Registered,S3,False,id,1.0,52835,SAN ANDRÉS DE TUMACO,False
ASATIQ Vaupés Maloca REDD+ Project,ASATIQ Vaupés Maloca REDD+ Project,VM0009 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0009,REDD_por_titulo,Inactive,S1,False,id,1.0,97001,MITÚ,False
ASATRIZY Vaupés Maloca REDD+ Project,ASATRIZY Vaupés Maloca REDD+ Project,VM0009 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0009,REDD_por_titulo,Registration and verification approval requested,S2,False,id,1.0,97001,MITÚ,False
Bajo Atrato REDD+ Project,Bajo Atrato REDD+ Project,VM0009 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0009,REDD_por_titulo,Registration and verification approval requested,S2,False,id,1.0,27615,RIOSUCIO,False
Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,VM0006 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0006,REDD_por_titulo,Registered,S3,False,id,1.0,76109,BUENAVENTURA,False
Cajambre REDD+ Project,Cajambre REDD+ Project,VM0006 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0006,REDD_por_titulo,Registered,S3,False,id,1.0,76109,BUENAVENTURA,False
Carmen del Darién (CDD) REDD+ Project,Carmen del Darién (CDD) REDD+ Project,VM0006 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0006,REDD_por_titulo,Registered,S3,False,id,1.0,27150,CARMEN DEL DARIÉN,False
CHONTA COROZO REDD+,CHONTA COROZO REDD+,VM0007 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0007,REDD_por_titulo,Pipeline listing requested (under development),S1,False,id,1.0,19318,GUAPI,False
"COCOMACIA COMMUNITY REDD+ PROGRAM, CHOCO/ANTIOQUIA COLOMBIA","COCOMACIA COMMUNITY REDD+ PROGRAM, CHOCO/ANTIOQUIA COLOMBIA","VM0006 (Version NA), VM0048 (Version NA)",REDD,REDD_ESTRICTO,metodologia VM0006/VM0048,REDD_por_titulo,Under validation (Public comment period closed),S1,False,id,1.0,27001,QUIBDÓ,False
Concosta REDD+ Project,Concosta REDD+ Project,VM0006 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0006,REDD_por_titulo,Registered,S3,False,id,1.0,27077,BAJO BAUDÓ,False
CONDOTO REDD+,CONDOTO REDD+,VM0007 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0007,REDD_por_titulo,Verification approval requested,S2,False,id,1.0,27205,CONDOTO,False
"CONSEJOS COMUNITARIOS DEL PACIFICO VALLE DEL CAUCA (CCPVC) PROGRAMA REDD+ VALLE DEL CAUCA, COLOMBIA","CONSEJOS COMUNITARIOS DEL PACIFICO VALLE DEL CAUCA (CCPVC) PROGRAMA REDD+ VALLE DEL CAUCA, COLOMBIA",VM0006 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0006,REDD_por_titulo,Pipeline listing (under development) approved,S1,False,id,1.0,76109,BUENAVENTURA,False
"CONSERVATION PROJECT REDD+ SUR DEL META BOSQUES DE PAZ, SUSTENTO DE VIDA","CONSERVATION PROJECT REDD+ SUR DEL META BOSQUES DE PAZ, SUSTENTO DE VIDA",VM0015 (Version 1.1),REDD,REDD_ESTRICTO,metodologia VM0015,REDD_por_titulo,Registered,S3,False,id,1.0,50590,PUERTO RICO,False
CRIMA PREDIO PUTUMAYO Y ANDOQUE DE ADUCHE REDD+  PROJECT,CRIMA PREDIO PUTUMAYO Y ANDOQUE DE ADUCHE REDD+  PROJECT,VM0007 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0007,REDD_por_titulo,Withdrawn,S1,False,id,1.0,18756,SOLANO,False
Grouped Project for reducing emissions from deforestation and forest degradation-REDD-in the Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de los Guacharos,Grouped Project for reducing emissions from deforestation and forest degradation-REDD-in the Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de los Guacharos,VM0015 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0015,REDD_por_titulo,Verification approval requested,S2,False,id,1.0,41668,SAN AGUSTÍN,False
"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia","Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",VM0015 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0015,REDD_por_titulo,Under validation (Public comment period closed),S1,False,id,1.0,68464,MOGOTES,False
Kúvay Macärö Vidi REDD+ Carurú -KUMAVI REDD+,Kúvay Macärö Vidi REDD+ Carurú -KUMAVI REDD+,"VM0015 (Version NA), VM0037 (Version NA)",REDD,REDD_ESTRICTO,metodologia VM0015/VM0037,REDD_por_titulo,Inactive,S1,False,id,1.0,97161,CARURÚ,False
Mutatá REDD+ Project,Mutatá REDD+ Project,VM0006 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0006,REDD_por_titulo,Registered,S3,False,id,1.0,5480,MUTATÁ,False
NAYA REDD+,NAYA REDD+,VM0007 (Version NA),"REDD,WRC",REDD_ESTRICTO,metodologia VM0007,REDD_por_titulo,Rejected by Administrator,S1,True,id,1.0,19418,LÓPEZ DE MICAY,False
Origen Atrato-Baudó REDD+ Project,Origen Atrato-Baudó REDD+ Project,VM0009 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0009,REDD_por_titulo,Registration and verification approval requested,S2,False,id,1.0,27600,RÍO QUITO,False
PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR,PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR,VM0015 (Version 1.1),REDD,REDD_ESTRICTO,metodologia VM0015,REDD_por_titulo,Registered,S3,False,id,1.0,15236,CHIVOR,False
PROJECT MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI,PROJECT MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI,VM0015 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0015,REDD_por_titulo,Rejected by Administrator,S1,False,id,1.0,97511,PACOA,False
Project MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI CONSERVACION ANCESTRAL,Project MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI CONSERVACION ANCESTRAL,VM0015 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0015,REDD_por_titulo,Withdrawn,S1,False,id,1.0,97511,PACOA,False
"PROJECT URAMIA – COMMUNITY-LED FOREST CONSERVATION REDD+ PROJECT IN CHOCÓ, COLOMBIA","PROJECT URAMIA – COMMUNITY-LED FOREST CONSERVATION REDD+ PROJECT IN CHOCÓ, COLOMBIA",VM0048 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0048,REDD_por_titulo,Under validation (Public comment period closed),S1,False,id,1.0,27361,ISTMINA,False
Proyecto REDD++ PANI,Proyecto REDD++ PANI,VM0007 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0007,REDD_por_titulo,Registration and verification approval requested,S2,False,id,1.0,91669,PUERTO SANTANDER,False
REDD + in the Forests of the Otún River Basin,REDD + in the Forests of the Otún River Basin,VM0015 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0015,REDD_por_titulo,Withdrawn,S1,False,id,1.0,66682,SANTA ROSA DE CABAL,False
REDD PROJECT OF THE INDIGENOUS PEOPLES OF VAUPÉS YUTUCU AND  OTHERS,REDD PROJECT OF THE INDIGENOUS PEOPLES OF VAUPÉS YUTUCU AND  OTHERS,VM0015 (Version 1.1),REDD,REDD_ESTRICTO,metodologia VM0015,REDD_por_titulo,Withdrawn,S1,False,id,1.0,97001,MITÚ,False
REDD+ CONSERVATION OF ETHNO SUSTAINABLE AFRO-COLOMBIAN COMMUNITY IN THE TROPICAL RAIN FOREST OF COLOMBIA,REDD+ CONSERVATION OF ETHNO SUSTAINABLE AFRO-COLOMBIAN COMMUNITY IN THE TROPICAL RAIN FOREST OF COLOMBIA,VM0015 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0015,REDD_por_titulo,Under validation (Public comment period closed),S1,False,id,1.0,27006,ACANDÍ,False
REDD+ Esteros y Manglares,REDD+ Esteros y Manglares,VM0007 (Version NA),"REDD,WRC",REDD_ESTRICTO,metodologia VM0007,REDD_por_titulo,Inactive,S1,True,id,1.0,52490,OLAYA HERRERA,False
REDD+ Project for the Conservation of Lowland Forest in the  Magdalena Medio Region of Colombia,REDD+ Project for the Conservation of Lowland Forest in the  Magdalena Medio Region of Colombia,VM0015 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0015,REDD_por_titulo,Withdrawn,S1,False,id,1.0,5893,YONDÓ,False
REDD+ Project in the Alto Predio Putumayo Indigenous Reservation in Colombia,REDD+ Project in the Alto Predio Putumayo Indigenous Reservation in Colombia,VM0009 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0009,REDD_por_titulo,Pipeline listing (under development) approved,S1,False,id,1.0,18150,CARTAGENA DEL CHAIRÁ,False
REDD+ Project Magnolios de Yarumal,REDD+ Project Magnolios de Yarumal,VM0015 (Version 1.1),REDD,REDD_ESTRICTO,metodologia VM0015,REDD_por_titulo,Registered,S3,False,id,1.0,5134,CAMPAMENTO,False
REDD+ Project Pueblos indígenas resguardando la selva,REDD+ Project Pueblos indígenas resguardando la selva,VM0015 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0015,REDD_por_titulo,Registered,S3,False,id,1.0,91405,LA CHORRERA,False
REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),VM0007 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0007,REDD_por_titulo,Verification approval requested,S2,False,id,1.0,99773,CUMARIBO,False
REDD+ Yaguara Llanos del Yari,REDD+ Yaguara Llanos del Yari,VM0015 (Version NA),,REDD_ESTRICTO,metodologia VM0015,REDD_por_titulo,Withdrawn,S1,False,id,1.0,95015,CALAMAR,False
REDD++ Manglares del Bajo Baudo,REDD++ Manglares del Bajo Baudo,VM0007 (Version NA),"REDD,WRC",REDD_ESTRICTO,metodologia VM0007,REDD_por_titulo,Under validation (Public comment period closed),S1,True,id,1.0,27077,BAJO BAUDÓ,False
Rio Pepe y ACABA REDD+ Project,Rio Pepe y ACABA REDD+ Project,VM0006 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0006,REDD_por_titulo,Registered,S3,False,id,1.0,27430,MEDIO BAUDÓ,False
Riscales REDD+ Project,Riscales REDD+ Project,VM0007 (Version 1),REDD,REDD_ESTRICTO,metodologia VM0007,REDD_por_titulo,Registered,S3,False,id,1.0,27495,NUQUÍ,False
SIVIRÚ-USARAGÁ-PIZARRO-PILIZÁ (SUPP) REDD+ Project,SIVIRÚ-USARAGÁ-PIZARRO-PILIZÁ (SUPP) REDD+ Project,VM0006 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0006,REDD_por_titulo,Registered,S3,False,id,1.0,27077,BAJO BAUDÓ,False
The Chocó-Darién Conservation Corridor REDD Project,The Chocó-Darién Conservation Corridor REDD Project,VM0009 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0009,REDD_por_titulo,Late to Verify,S2,False,id,1.0,27006,ACANDÍ,False
