project_id,name,proponent,project_url,registry
VCS1562,Hydroelectric Project Aures Bajo,Aures Bajo S.A E.S.P,https://registry.verra.org/app/projectDetail/VCS/1562,verra
VCS1400,Concosta REDD+ Project,Concosta Community Council,https://registry.verra.org/app/projectDetail/VCS/1400,verra
VCS1391,SIVIRÚ-USARAGÁ-PIZARRO-PILIZÁ (SUPP) REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1391,verra
VCS1389,Acapa -­ Bajo Mira Y Frontera REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1389,verra
VCS1392,Cajambre REDD+ Project,Consejo Comunitario del Río Cajambre,https://registry.verra.org/app/projectDetail/VCS/1392,verra
VCS1530,Grouped Project for Commercial Forest Plantations Initiatives in the Department of Vichada,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1530,verra
VCS1524,AXIA Energia Cogeneration Project in Familia,AXIA Energia,https://registry.verra.org/app/projectDetail/VCS/1524,verra
VCS1473,Hydroelectric Project MULATOS II,Energía del Suroeste S.A E.S.P,https://registry.verra.org/app/projectDetail/VCS/1473,verra
ART108,Amazon Region,Ministerio de Ambiente y Desarrollo Sostenible,https://art.apx.com/mymodule/reg/prjView.asp?id1=108,art-trees
CCB1,Carbono Agroporvanda,Agroporvanda S.A.S,https://www.ecoregistry.io/projects/CDC-1,cercarbono
CCB2,Carbono Agrorios,Inversiones Agrorios S.A,https://www.ecoregistry.io/projects/CDC-2,cercarbono
CCB3,Carbono Flor y Nuevo,Fernando Escorcia Aramburo,https://www.ecoregistry.io/projects/CDC-3,cercarbono
CCB4,Carbono Paja Perdida,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-4,cercarbono
CCB6,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-6,cercarbono
CCB7,Reforestación Comercial en Meta,South Pole Carbon Asset Management,https://www.ecoregistry.io/projects/CDC-7,cercarbono
CCB9,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-9,cercarbono
CCB11,Proyecto Forestal de Mitigación de Cambio Climático en áreas degradadas por ganadería Fincas La Clara y Suebrá,South Pole Carbon Asset Management,https://www.ecoregistry.io/projects/CDC-11,cercarbono
CCB12,Proyecto de Mitigación Forestal Bonanza Verde,South Pole Carbon Asset Management,https://www.ecoregistry.io/projects/CDC-12,cercarbono
CCB13,Reforestación de suelos degradados por la ganadería y la agricultura en Antioquia,South Pole Carbon Asset Management,https://www.ecoregistry.io/projects/CDC-13,cercarbono
CCB16,Proyecto hidroeléctrico Porce III,EPM,https://www.ecoregistry.io/projects/CDC-16,cercarbono
CCB17,CARBONO GRESCO2,PRO ORIENTE SAS,https://www.ecoregistry.io/projects/CDC-17,cercarbono
CCB18,Carbono Refosinu,Reforestadora del Sinú S.C.,https://www.ecoregistry.io/projects/CDC-18,cercarbono
CCB19,CARBONO OXIGENO PARA TODOS,INVERSIONES FORESTALES LA CABAÑA SAS,https://www.ecoregistry.io/projects/CDC-19,cercarbono
CCB20,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-20,cercarbono
CCB21,CARBONO NEGOCIOS AGROFORESTALES ,Negocios Agroforestales S.A.S,https://www.ecoregistry.io/projects/CDC-21,cercarbono
CCB22,Proyecto Conservación ARLEQUÍN REDD+,BIOFIX CONSULTORIA S.A.S BIC,https://www.ecoregistry.io/projects/CDC-22,cercarbono
CCB23,Carbono Bagatela,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-23,cercarbono
CCB24,Carbono Reforesta,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-24,cercarbono
