COD_DANE,NOMBRE_MPI,year,temp_media_c,prec_anual_mm
05042,SANTA FÉ DE ANTIOQUIA,2023,18.161959541459225,1591.9236667640491
05042,SANTA FÉ DE ANTIOQUIA,2024,18.66603758542567,1689.0191119657825
05101,CIUDAD BOLÍVAR,2023,17.454675746856765,2534.850042763309
05101,CIUDAD BOLÍVAR,2024,17.881032229058633,2605.166069222288
05148,EL CARMEN DE VIBORAL,2023,16.3533378429413,2648.580570088593
05148,EL CARMEN DE VIBORAL,2024,16.802951683878405,2666.478975840315
05237,DONMATÍAS,2023,15.938795652233864,2519.660896451245
05237,DONMATÍAS,2024,16.37517222992875,2499.9520567553523
05390,LA PINTADA,2023,21.04409302450693,2335.046538739996
05390,LA PINTADA,2024,21.60839508651708,2478.5525950385186
05585,PUERTO NARE,2023,25.99286665099646,3313.497048861396
05585,PUERTO NARE,2024,26.395472760575217,2764.3207185123933
05647,SAN ANDRÉS DE CUERQUÍA,2023,19.21037177726356,1821.3569407933803
05647,SAN ANDRÉS DE CUERQUÍA,2024,19.594496624057115,1945.403235108728
05664,SAN PEDRO DE LOS MILAGROS,2023,15.984867218601266,1506.0799096378137
05664,SAN PEDRO DE LOS MILAGROS,2024,16.51944865577451,1618.5342168778243
05674,SAN VICENTE FERRER,2023,16.448963177937856,2081.513350925416
05674,SAN VICENTE FERRER,2024,16.857626616599873,2010.4575532067092
05697,EL SANTUARIO,2023,16.31310302360015,2297.974734675849
05697,EL SANTUARIO,2024,16.71855982642421,2264.308153066408
08001,BARRANQUILLA,2023,27.59996711894649,754.9867269899655
08001,BARRANQUILLA,2024,27.83928690771637,1281.0417287840496
08558,POLONUEVO,2023,27.382938938909376,1117.810903308677
08558,POLONUEVO,2024,27.52653145540125,1503.3593090818642
11001,"BOGOTÁ, D.C.",2023,11.91660241428798,1147.833260746746
11001,"BOGOTÁ, D.C.",2024,12.240321292129522,1219.9239846034775
13001,CARTAGENA DE INDIAS,2023,27.95668747285157,1007.9413187711962
13001,CARTAGENA DE INDIAS,2024,28.084033565350357,1248.1355466975494
13042,ARENAL,2023,25.7734272197319,2201.478831213882
13042,ARENAL,2024,25.83074688975768,2373.8631402067517
13062,ARROYOHONDO,2023,28.410112278413067,1180.4704223513086
13062,ARROYOHONDO,2024,28.423578222185768,1340.7697803316012
13222,CLEMENCIA,2023,27.82727595239311,1059.0851265451531
13222,CLEMENCIA,2024,27.92023462234988,1276.2538491536104
13268,EL PEÑÓN,2023,28.060548855821025,2018.226237870988
13268,EL PEÑÓN,2024,28.118693665225862,2225.9671910569164
13468,SANTA CRUZ DE MOMPOX,2023,28.51724465314516,1543.1178365621265
13468,SANTA CRUZ DE MOMPOX,2024,28.5400403590146,1876.640730973934
13490,NOROSÍ,2023,27.19593324397283,2270.811847893432
13490,NOROSÍ,2024,27.228175492028697,2455.165743414087
13580,REGIDOR,2023,27.45738738241738,1850.2397587794824
13580,REGIDOR,2024,27.45156247287997,2050.1134707869974
13620,SAN CRISTÓBAL,2023,28.20844194133969,1067.9697485055478
13620,SAN CRISTÓBAL,2024,28.25415177205616,1241.6602616623718
13655,SAN JACINTO DEL CAUCA,2023,27.120107295462105,2831.943882555157
13655,SAN JACINTO DEL CAUCA,2024,27.388418344518016,3314.761354631436
