Project ID,Project Name,Project Stage,Project URL,Project proponent,Project developer,Is Migrated,Protocol,Sector,Methodology,Mitigation type,Duration start,Duration end,Start date first crediting period,Crediting periord start,Crediting period end,n_filas_registro,n_matches,cod_dane,municipio
CDC-99,Pedeguita y Mancilla REDD+,Verification,https://www.ecoregistry.io/projects/99,TERRA COMMODITIES,Carbo Sostenible S.A.S.,No,PROTOCOL CVCC 3.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,2020-01-06,2040-01-05,2020-01-01,2020-01-01,2059-12-31,3,3,17614;27150;27615,CARMEN DEL DARIEN;RIOSUCIO
CDC-196,Guajira I Wind Farm,Certified,https://www.ecoregistry.io/projects/196,ISAGEN S.A. ESP,ISAGEN S.A. ESP,No,PROTOCOL CVCC 4.3,Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,2022-07-09,2042-07-08,2022-07-09,2022-07-09,2032-07-08,2,0,,
CDC-230,Proyecto REDD+ Fundación Biodiversa en tierras bajas del Magdalena,Verification,https://www.ecoregistry.io/projects/230,FUNDACIÓN BIODIVERSA COLOMBIA,FUNDACIÓN BIODIVERSA COLOMBIA,No,PROTOCOL CVCC 4.4,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,2019-11-27,2049-11-26,2019-11-27,2019-11-27,2039-11-26,1,2,47189;52079,BARBACOAS;CIENAGA
CDC-232,LIGNUS - BONOS DE CARBONO,Verification,https://www.ecoregistry.io/projects/232,LIGNUS SAS,Forestry Consulting Group S.A.S.,No,PROTOCOL CVCC 4.4,Land use (AFOLU),"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,2020-09-15,2041-06-27,2021-06-28,2021-06-28,2041-06-27,1,5,13873;44874;68872;85162;85440,MONTERREY;VILLANUEVA
CDC-253,Soluciones Energéticas Promigas,Certified,https://www.ecoregistry.io/projects/254,PROMIGAS SA ESP,MGM Innova Consulting SAS,No,PROTOCOL CVCC 4.4,Energy industries,M/EE-EG001 Implementation of GHG Emission Reduction Projects Through Renewable Energy Use for Electric Power Generation.,Does not apply,2020-09-15,2050-09-14,2020-09-15,2020-09-15,2030-09-14,1,0,,
CDC-147,Proyecto Solar Fotovoltaico Greenyellow,Verification,https://www.ecoregistry.io/projects/147,GREENYELLOW ENERGIA DE COLOMBIA / GREENYELLOW,C-Neutral,No,PROTOCOL CVCC 4.1,Energy industries,CCB - M/E-ER01: Methodology for the realization of GHG emissions reduction projects by the use of renewable energy,Avoidance,2024-01-02,2054-02-28,2023-12-01,2023-12-01,2033-11-30,1,0,,
CDC-49,Carbono Reforestadora El Guásimo,Certified,https://www.ecoregistry.io/projects/49,Reforestadora el Gúasimo SAS,Forestry Consulting Group S.A.S,No,"ES-I-CC-002, PROTOCOL CVCC 3.1",Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,2007-10-31,2026-12-31,2007-10-31,2007-10-31,2026-12-31,3,3,05001;05129;15131,CALDAS;MEDELLIN
CDC-95,APROVECHAMIENTO Y RECUPERACIÓN DE GAS MEDIANTE LA INSTALACIÓN DE UNA PLANTA PARA LA GENERACIÓN DE ENERGÍA ELÉCTRICA - TERMOMECHERO,Certified,https://www.ecoregistry.io/projects/95,Termo Mechero Morro S.A.S E.S.P,Termo Mechero Morro S.A.S E.S.P,No,PROTOCOL CVCC 3.1,"Fugitive emissions from fuels (solids, oil and gas)",Methodological guide for the certification of emissions reduced by the implementation of operational improvement projects in the hydrocarbons sector,Avoidance,2018-02-02,2048-02-01,2019-11-07,2019-11-07,2024-11-06,2,0,,
CDC-88,Proyecto Hidroeléctrico Alejandría,Certified,https://www.ecoregistry.io/projects/88,Generadora Alejandría S.A.S. E.S.P.,C-Neutral,No,PROTOCOL CVCC V2.1,Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,2016-10-05,2036-10-04,2016-10-05,2016-10-05,2036-10-04,3,1,05021,ALEJANDRIA
CDC-76,PRR-GEI ENTREPALMAS S.A.S,Certified,https://www.ecoregistry.io/projects/76,ENTREPALMAS S.A.S,MGM Innova Consulting SAS,No,PROTOCOL CVCC V2.1,Energy industries; Waste handling and disposal,"CDM - AMS-III.H.: Methane recovery in wastewater treatment, AMS-I.C.: Thermal energy production with or without electricity, AMS-III.F: Avoidance of methane emissions through composting",Avoidance,2017-05-25,2047-05-24,2017-05-25,2017-05-25,2037-05-24,6,0,,
