Project ID,Project Name,Project Stage,Project URL,Project proponent,Project developer,Is Migrated,Protocol,Sector,Methodology,Mitigation type,Duration start,Duration end,Start date first crediting period,Crediting periord start,Crediting period end,n_filas_registro,n_matches,cod_dane,municipio
CDC-90,Veolia LFG PTA Presidente landfill,Certified,https://www.ecoregistry.io/projects/90,VEOLIA COLOMBIA HOLDING SA,VEOLIA COLOMBIA HOLDING SA,Yes,"PROTOCOL CVCC V2.1, PROTOCOL CVCC 3.1",Waste handling and disposal,CDM - ACM0001: Flaring or use of landfill gas,Avoidance,,,2021-01-01,2021-01-01,2027-05-31,3,0,,
CDC-40,Proyecto Hidroeléctrico El Salto II,Certified,https://www.ecoregistry.io/projects/40,Enel Colombia S.A. E.S.P.,Enel Colombia S.A. E.S.P.,No,PROTOCOL CVCC V2.1,Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,,,2015-10-01,2015-10-01,2035-09-30,3,7,05483;17665;25386;25483;25645;52480;73675,LA MESA;NARINO;SAN ANTONIO;SAN ANTONIO DEL TEQUENDAMA;SAN JOSE
CDC-39,Proyecto Hidroeléctrico Dario Valencia Samper,Certified,https://www.ecoregistry.io/projects/39,Enel Colombia S.A. E.S.P.,Enel Colombia S.A. E.S.P.,No,PROTOCOL CVCC V2.1,Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,2015-10-01,2035-09-30,2015-10-01,2015-10-01,2035-09-30,3,3,23855;25245;25386,EL COLEGIO;LA MESA;VALENCIA
CDC-38,"Proyecto Hidroeléctrico Tequendama 1, 2, 3 y 4",Certified,https://www.ecoregistry.io/projects/38,Enel Colombia S.A. E.S.P.,Enel Colombia S.A. E.S.P.,No,PROTOCOL CVCC V2.1,Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,,,2018-04-03,2018-04-03,2038-04-02,3,7,05483;17665;25386;25483;25645;52480;73675,LA MESA;NARINO;SAN ANTONIO;SAN ANTONIO DEL TEQUENDAMA;SAN JOSE
CDC-34,Proyecto Hidroeléctrico El Quimbo,Certified,https://www.ecoregistry.io/projects/34,Enel Colombia S.A. E.S.P.,Global Consulting,No,PROTOCOL CVCC V2.1,Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,,,2015-11-16,2015-11-16,2035-11-15,3,8,05091;41013;41026;41298;41306;41518;41797;68211,AGRADO;ALTAMIRA;BETANIA;CONTRATACION;GARZON;GIGANTE;PAICOL;TESALIA
CDC-75,Núcleos Carbono,Certified,https://www.ecoregistry.io/projects/75,NÚCLEOS E INVERSIONES FORESTALES DE COLOMBIA S.A,Forestry Consulting Group S.A.S.,Yes,"ES-I-CC-002, PROTOCOL CVCC V2.1",Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,,,2009-01-01,2009-01-01,2038-12-31,3,11,05001;05036;05129;05347;05647;05887;05890;15131;68669;73675;88001,ANGELOPOLIS;CALDAS;HELICONIA;MEDELLIN;SAN ANDRES;SAN ANDRES DE CUERQUIA;SAN ANTONIO;YARUMAL;YOLOMBO
CDC-36,Proyecto Hidroeléctrico Guavio Menor,Certified,https://www.ecoregistry.io/projects/36,Enel Colombia S.A. E.S.P.,Enel Colombia S.A. E.S.P.,No,PROTOCOL CVCC V2.1,Energy industries,CDM - AMS-I.D.: Grid connected renewable electricity generation,Avoidance,2016-04-27,2066-04-26,2016-04-27,2016-04-27,2036-04-26,3,3,15236;25293;25297,CHIVOR;GACHALA;GACHETA
CDC-199,Proyectos Fotovoltaicos Guamo y Numbana,Validation,https://www.ecoregistry.io/projects/199,Erco Energía,Erco Energía,No,PROTOCOL CVCC 4.3,Energy industries,CCB - M/E-ER01: Methodology for the realization of GHG emissions reduction projects by the use of renewable energy,Avoidance,,,2024-01-26,2024-01-26,2025-01-26,1,0,,
CDC-28,Manejo Sostenible de los Bosques Aplicado en el Oriente Antioqueño bajo el esquema BancO2®,Certified,https://www.ecoregistry.io/projects/28,Corporación Masbosques,Corporación Masbosques,Yes,"PROTOCOL CVCC 3.1, PROTOCOL CVCC 4.4",Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2017-11-01,2017-11-01,2047-10-31,2,0,,
CDC-211,Proyecto de Generación de Energía Solar Fotovoltaica Guayepo,Verification,https://www.ecoregistry.io/projects/211,Enel Colombia S.A. E.S.P.,ATMOSPHERE ALTERNATIVE SAS ,No,PROTOCOL CVCC 4.4,Energy industries,M/EE-EG001 Implementation of GHG Emission Reduction Projects Through Renewable Energy Use for Electric Power Generation.,Does not apply,,,2023-11-15,2023-11-15,2033-11-14,1,0,,
CDC-185,PMCC AGROINCE,Verification,https://www.ecoregistry.io/projects/185,AGROINCE LTDA Y CIA S.C.A,MGM Innova Consulting SAS,No,PROTOCOL CVCC 4.2,Energy industries; Waste handling and disposal,"CDM - AMS-III.H.: Methane recovery in wastewater treatment, CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid",Avoidance,,,2023-12-01,2023-12-01,2033-11-30,2,0,,
CDC-191,Proyecto de reducción de GEI - GREMCA,Verification,https://www.ecoregistry.io/projects/191,GREMCA AGRICULTURA Y ENERGÍA SOSTENIBLE S.A,MGM Innova Consulting SAS,No,PROTOCOL CVCC 4.2,Energy industries; Waste handling and disposal,"CDM - AMS-III.H.: Methane recovery in wastewater treatment, CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid",Avoidance,,,2024-05-15,2024-05-15,2034-05-14,2,0,,
CDC-146,Planeta Agradecido con el Resguardo indígena Bajo Río Guainía y Río Negro II,Certified,https://www.ecoregistry.io/projects/146,HUMAN FOREST SAS,HUMAN FOREST SAS,No,PROTOCOL CVCC 4.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2022-01-01,2022-01-01,2061-12-31,1,0,,
CDC-64,“Planeta agradecido con el Resguardo Indígena Bajo Río Guainía y Río Negro”,Certified,https://www.ecoregistry.io/projects/64,HUMAN FOREST SAS,HUMAN FOREST SAS,No,PROTOCOL CVCC 3.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2018-01-01,2018-01-01,2037-12-31,2,0,,
CDC-155,Awakadaa Jiduaa,Certified,https://www.ecoregistry.io/projects/155,Corporación Masbosques,Corporación Masbosques,No,PROTOCOL CVCC 4.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2018-01-01,2018-01-01,2037-12-31,1,3,08573;17665;94884,PUERTO COLOMBIA;SAN JOSE
CDC-25,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",Certified,https://www.ecoregistry.io/projects/25,Sociedad Agropecuaria YUMA SAS,AGI Ambiental,No,PROTOCOL CVCC V2.1,Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,,,2013-01-05,2013-01-05,2042-12-12,2,1,68081,BARRANCABERMEJA
CDC-181,Carbono Hass,Certified,https://www.ecoregistry.io/projects/181,Forestry Consulting Group S.A.S.,Forestry Consulting Group S.A.S.,No,PROTOCOL CVCC 4.2,Land use (AFOLU),"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,,,2018-07-01,2018-07-01,2038-06-30,1,4,05129;15104;15131;17616,BOYACA;CALDAS;RISARALDA
CDC-180,Carbono Rancho Victoria,Verification,https://www.ecoregistry.io/projects/180,Agroreforestadora Rancho Victoria S.A.,Forestry Consulting Group S.A.S.,No,PROTOCOL CVCC 4.2,Land use (AFOLU),"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,,,2018-09-10,2018-09-10,2038-09-09,2,1,50573,PUERTO LOPEZ
CDC-50,Veolia LFG PTA Antanas landfill,Certified,https://www.ecoregistry.io/projects/50,VEOLIA COLOMBIA HOLDING SA,VEOLIA COLOMBIA HOLDING SA,No,PROTOCOL CVCC V2.1,Waste handling and disposal,CDM - ACM0001: Flaring or use of landfill gas,Avoidance,,,2020-01-29,2020-01-29,2040-01-28,3,0,,
CDC-10,Bonos de Carbono Caracoli,Verification,https://www.ecoregistry.io/projects/10,Reforestadora Caracolí S.A.S.,Forestry Consulting Group S.A.S.,No,PROTOCOL CVCC 3.1,Land use (AFOLU),"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,,,2010-05-15,2010-05-15,2030-05-14,3,1,05142,CARACOLI
CDC-103,CELSIA EOLICO AGRUPADO 2022,Verification,https://www.ecoregistry.io/projects/103,CELSIA COLOMBIA S.A. E.S.P.,CELSIA COLOMBIA S.A. E.S.P.,No,PROTOCOL CVCC 3.1,Energy industries,"CDM - ACM0002: Grid-connected electricity generation from renewable sources, CDM - AMS-I.D.: Grid connected renewable electricity generation",Avoidance,,,2025-01-01,2025-01-01,2034-12-31,1,0,,
CDC-184,Primer Proyecto Agrupado de Helios S.A.S E.S.P para la energización de hogares en Zonas No Interconectadas en Colombia,Certified,https://www.ecoregistry.io/projects/184,HELIOS ENERGIA SA ESP,HELIOS ENERGIA SA ESP,No,PROTOCOL CVCC 4.2,Energy industries,AMS-I.L.: Electrification of rural communities using renewable energy,Avoidance,,,2020-07-30,2020-07-30,2030-07-29,1,0,,
CDC-91,Veolia LFG PTA Manizales and Cúcuta Landfill,Certified,https://www.ecoregistry.io/projects/91,VEOLIA COLOMBIA HOLDING SA,VEOLIA COLOMBIA HOLDING SA,Yes,PROTOCOL CVCC 3.1,Energy industries; Waste handling and disposal,CDM - ACM0001: Flaring or use of landfill gas,Avoidance,,,2017-12-24,2017-12-24,2024-12-23,4,1,17001,MANIZALES
CDC-21,CARBONO NEGOCIOS AGROFORESTALES ,Verification,https://www.ecoregistry.io/projects/21,Negocios Agroforestales S.A.S,Forestry Consulting Group S.A.S.,No,"ES-I-CC-002, PROTOCOL CVCC V1.1",Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,,,2011-05-09,2011-05-09,2030-05-08,7,3,05154;05895;13654,CAUCASIA;SAN JACINTO;ZARAGOZA
CDC-118,"Cavadacavᵾ Coreivᵾ Jocᵾ Bᵾcᵾro Rẽ, N̄ᵾjẽ N̄ecᵾvã Aiye Baquepe",Certified,https://www.ecoregistry.io/projects/118,Corporación Masbosques,Corporación Masbosques,No,PROTOCOL CVCC 4.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2018-01-01,2018-01-01,2037-12-31,1,0,,
CDC-161,PCH CANTAYUS,Certified,https://www.ecoregistry.io/projects/161,CENIT ,CENIT ,No,PROTOCOL CVCC 4.2,Energy industries,"CDM - AMS-I.D.: Grid connected renewable electricity generation, CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid",Avoidance,,,2017-05-20,2017-05-20,2027-05-19,1,2,05190;47707,CISNEROS;SANTA ANA
CDC-74,Cucuana Hydroelectric Power Plant,Verification,https://www.ecoregistry.io/projects/74,CELSIA COLOMBIA S.A. E.S.P.,CELSIA COLOMBIA S.A. E.S.P.,Yes,"PROTOCOL CVCC V2.1, PROTOCOL CVCC 3.1",Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,,,2014-11-01,2014-11-01,2031-10-31,2,2,70708;73622,RONCESVALLES;SAN MARCOS
CDC-152,GUAINIA REDD+ PROJECT,Certified,https://www.ecoregistry.io/projects/152,OVIEDO S.A.S.,OVIEDO S.A.S.,No,PROTOCOL CVCC 4.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2018-01-01,2018-01-01,2037-01-01,1,0,,
CDC-117,CHONTA COROZO REDD+ Project,Certified,https://www.ecoregistry.io/projects/117,BIOFIX CONSULTORIA S.A.S BIC,BIOFIX CONSULTORIA S.A.S BIC,No,PROTOCOL CVCC 4.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2017-01-01,2017-01-01,2036-12-31,1,0,,
CDC-46,SKCARBONO,Certified,https://www.ecoregistry.io/projects/46,Reforestadora Andina S.A.,Forestry Consulting Group S.A.S.,No,PROTOCOL CVCC V2.1,Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,,,2010-07-01,2010-07-01,2039-06-30,2,3,05129;15131;17616,CALDAS;RISARALDA
CDC-16,Proyecto hidroeléctrico Porce III,Verification,https://www.ecoregistry.io/projects/16,EPM,EPM,No,"PROTOCOL CVCC V1.1, PROTOCOL CVCC 3.1",Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,,,2011-01-01,2011-01-01,2030-12-31,5,3,05001;05031;05310,AMALFI;GOMEZ PLATA;MEDELLIN
CDC-41,Cartagena Landfill Gas Capture and Usage Project,Certified,https://www.ecoregistry.io/projects/41,Biogás Colombia S.A.S. E.S.P.,ENERGIE GESELLSCHAFT S A S,Yes,PROTOCOL CVCC V2.1,Waste handling and disposal,"CDM - ACM0001: Flaring or use of landfill gas, Methodology for executing projects that capture, destroy, or use the biogas produced in sanitary landfills",Avoidance,,,2019-12-27,2019-12-27,2033-12-26,2,0,,
CDC-114,PROYECTO REDD+ PAZCÍFICO SUR,Certified,https://www.ecoregistry.io/projects/114,CO2CERO,CO2CERO,No,PROTOCOL CVCC 4.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2017-01-01,2017-01-01,2036-12-31,1,3,05483;25483;52480,NARINO
CDC-65,"Manejo Sostenible de los Bosques Aplicado al Predio Santa Ana, Vereda El Popal, Municipio De Sonsón, Bajo El Esquema BancO2",Certified,https://www.ecoregistry.io/projects/65,Corporación Masbosques,Corporación Masbosques,Yes,PROTOCOL CVCC 4.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2014-05-06,2014-05-06,2044-05-05,1,2,05756;47707,SANTA ANA;SONSON
CDC-112,Sustitución de combustibles fósiles por combustibles alternativos en la producción de Clinker Planta Cartagena,Verification,https://www.ecoregistry.io/projects/112,Zona Franca Argos S.A.S.,Zona Franca Argos S.A.S.,No,PROTOCOL CVCC 3.1,Manufacturing industry,CDM - ACM0003: Partial substitution of fossil fuels in cement or quicklime manufacture,Avoidance,,,2019-10-08,2019-10-08,2029-10-07,2,0,,
CDC-17,CARBONO GRESCO2,Verification,https://www.ecoregistry.io/projects/17,PRO ORIENTE SAS,Forestry Consulting Group S.A.S.,No,"ES-I-CC-002, PROTOCOL CVCC V1.1",Land use (AFOLU),"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,,,2009-02-09,2009-02-09,2019-09-13,3,7,05129;15131;17433;17541;17873;25743;52381,CALDAS;LA FLORIDA;MANZANARES;PENSILVANIA;SILVANIA;VILLAMARIA
CDC-26,MultiAntioquia,Certified,https://www.ecoregistry.io/projects/26,Forestry Consulting Group S.A.S.,Forestry Consulting Group S.A.S.,No,PROTOCOL CVCC V2.1,Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,,,2010-10-30,2010-10-30,2029-10-29,2,7,05129;05670;15131;17013;19110;52381;68013,AGUADA;AGUADAS;BUENOS AIRES;CALDAS;LA FLORIDA;SAN ROQUE
CDC-4,Carbono Paja Perdida,Certified,https://www.ecoregistry.io/projects/4,Forestry Consulting Group S.A.S.,Forestry Consulting Group S.A.S.,No,"ES-I-CC-002, PROTOCOL CVCC V1.1",Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,,,2008-02-01,2008-02-01,2028-01-31,2,1,05659,SAN JUAN DE URABA
CDC-5,Carbono La Puya y San Lorenzo,Certified,https://www.ecoregistry.io/projects/5,Forestry Consulting Group S.A.S.,Forestry Consulting Group S.A.S.,No,"ES-I-CC-002, PROTOCOL CVCC V1.1",Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,,,2011-03-15,2011-03-15,2035-03-14,2,5,13212;23419;52215;52687;63212,CORDOBA;LOS CORDOBAS;SAN LORENZO
CDC-156,ORINOCO REDD+ PROJECT,Retired,https://www.ecoregistry.io/projects/156,OVIEDO S.A.S.,OVIEDO S.A.S.,No,PROTOCOL CVCC 4.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2018-01-20,2018-01-20,2052-12-31,1,1,99773,CUMARIBO
CDC-77,Central Hidroeléctrica de Santa Ana,Certified,https://www.ecoregistry.io/projects/77,Empresa de Acueducto y Alcantarillado de Bogotá ,EBT SAS,Yes,PROTOCOL CVCC 3.1,Energy industries,CDM - AMS-I.D.: Grid connected renewable electricity generation,Avoidance,,,2015-08-01,2015-08-01,2025-07-31,1,1,47707,SANTA ANA
CDC-149,Veolia LFG PTA Cucuta Landfill,Cancelled,https://www.ecoregistry.io/projects/149,VEOLIA COLOMBIA HOLDING SA,VEOLIA COLOMBIA HOLDING SA,No,PROTOCOL CVCC V2.1,Waste handling and disposal,CDM - ACM0001: Flaring or use of landfill gas,Avoidance,,,2017-12-24,2017-12-24,2024-12-23,1,0,,
CDC-8,Proyecto forestal de mitigación de cambio climático “Forestal de La Orinoquía”,Certified,https://www.ecoregistry.io/projects/8,Forest First Colombia S.A.S.,South Pole Carbon Asset Management,No,PROTOCOL CVCC 3.1,Land use (AFOLU),CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Removal,,,2010-10-14,2010-10-14,2030-10-13,1,2,99001;99524,LA PRIMAVERA;PUERTO CARRENO
CDC-100,PITUGUCAJUDE,Certified,https://www.ecoregistry.io/projects/100,Corporación Masbosques,Corporación Masbosques,No,PROTOCOL CVCC 3.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2018-01-01,2018-01-01,2037-12-31,1,0,,
CDC-86,Proyecto agrupado HZ Energy,Certified,https://www.ecoregistry.io/projects/86,HZ ENERGY S.A.S. E.S.P.,HZ ENERGY S.A.S. E.S.P.,No,PROTOCOL CVCC V2.1,Energy industries,CDM - AMS-I.D.: Grid connected renewable electricity generation,Avoidance,,,2016-01-01,2016-01-01,2035-12-31,1,2,05031;05670,AMALFI;SAN ROQUE
CDC-109,Bosques Solares de los Llanos 1,Certified,https://www.ecoregistry.io/projects/109,ISAGEN S.A. ESP,"MATRIX RENEWABLES COLOMBIA, S.A.S",No,PROTOCOL CVCC 3.1,Energy industries,ACM0002: Grid-connected electricity generation from renewable sources / ACM0006: Electricity and heat generation from biomass ,Avoidance,,,2020-08-22,2020-08-22,2030-08-21,1,0,,
CDC-83,Primera sombrilla de generación solar fotovoltaica de Ecopetrol,Certified,https://www.ecoregistry.io/projects/83,Ecopetrol S.A.,CAIA Ingeniería S.A.S.  / CAIA Ingeniería,No,PROTOCOL CVCC V2.1,Energy industries,CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid,Avoidance,,,2019-10-10,2019-10-10,2029-10-09,1,0,,
CDC-113,Eficiencia energética por Control Operacional en la Refinería de Cartagena,Certified,https://www.ecoregistry.io/projects/113,Refinería de Cartagena S.A.S.,Refinería de Cartagena S.A.S.,No,PROTOCOL CVCC 3.1,Manufacturing industry,CDM - AMS-II.D: Energy efficiency and fuel switching measures for industrial facilities,Avoidance,,,2020-01-01,2020-01-01,2029-12-31,1,0,,
CDC-84,Programa de aprovechamiento de gas asociado de Ecopetrol,Certified,https://www.ecoregistry.io/projects/84,Ecopetrol S.A.,Ecopetrol S.A.,No,PROTOCOL CVCC V2.1,"Fugitive emissions from fuels (solids, oil and gas)",Methodological guide for the certification of emissions reduced by the implementation of operational improvement projects in the hydrocarbons sector,Avoidance,,,2019-11-07,2019-11-07,2025-03-31,1,0,,
CDC-32,Programa de Compensaciones de Gases de Efecto Invernadero (GEI) – Reforestadora Cacerí S.A.,Certified,https://www.ecoregistry.io/projects/32,Forestry Consulting Group S.A.S.,Forestry Consulting Group S.A.S.,Yes,PROTOCOL CVCC 3.1,Land use (AFOLU),"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,,,2007-07-01,2007-07-01,2036-06-30,1,0,,
CDC-56,Jocū Bucūrō Apūrō,Certified,https://www.ecoregistry.io/projects/56,Corporación Masbosques,Corporación Masbosques,No,PROTOCOL CVCC 3.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2018-01-01,2018-01-01,2037-12-31,1,0,,
CDC-55,Awakadaa Matsiadali,Certified,https://www.ecoregistry.io/projects/55,Corporación Masbosques,Corporación Masbosques,No,PROTOCOL CVCC 3.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2018-01-01,2018-01-01,2037-12-31,1,0,,
CDC-108,Proyecto Solar Fotovoltaico Agrupado URRÁ S.A. E.S.P.,Verification,https://www.ecoregistry.io/projects/108,URRA,URRA,No,PROTOCOL CVCC 3.1,Energy industries,CCB - M/E-ER01: Methodology for the realization of GHG emissions reduction projects by the use of renewable energy,Avoidance,,,2022-10-18,2022-10-18,2032-10-17,1,0,,
CDC-93,Proyecto agrupado de PTGs - Parex,Certified,https://www.ecoregistry.io/projects/93,PAREX RESOURCES COLOMBIA LTD SUCURSAL,PAREX RESOURCES COLOMBIA LTD SUCURSAL,No,PROTOCOL CVCC 3.1,"Fugitive emissions from fuels (solids, oil and gas)",Methodological guide for the certification of emissions reduced by the implementation of operational improvement projects in the hydrocarbons sector,Avoidance,,,2019-07-17,2019-07-17,2024-09-28,1,0,,
CDC-31,Carbono Agroforestal La Argentina,Certified,https://www.ecoregistry.io/projects/31,Forestry Consulting Group S.A.S.,Forestry Consulting Group S.A.S.,Yes,PROTOCOL CVCC 3.1,Land use (AFOLU),"NTC 6208 - Mitigation actions in the land use, change in land use and forestry sector at the rural level, incorporating social and biodiversity considerations",Avoidance,,,2011-11-15,2011-11-15,2030-11-15,1,3,05001;05858;41378,LA ARGENTINA;MEDELLIN;VEGACHI
CDC-30,Carbono Ganados y Bosques,Certified,https://www.ecoregistry.io/projects/30,Forestry Consulting Group S.A.S.,Forestry Consulting Group S.A.S.,No,PROTOCOL CVCC V2.1,Land use (AFOLU),CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Removal,,,2010-05-02,2010-05-02,2029-05-23,1,1,05490,NECOCLI
CDC-89,REDD+ PAZCÍFICO,Verification,https://www.ecoregistry.io/projects/89,CO2CERO,CO2CERO,No,PROTOCOL CVCC V2.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2015-01-01,2015-01-01,2034-12-31,2,0,,
CDC-85,Celsia Solar Agrupado Colombia 2021,Verification,https://www.ecoregistry.io/projects/85,CELSIA COLOMBIA S.A. E.S.P.,CELSIA COLOMBIA S.A. E.S.P.,No,PROTOCOL CVCC V2.1,Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,,,2021-08-07,2021-08-07,2041-08-06,1,0,,
CDC-15,Bonos Verdes Colombia Grupo Custodiar S.A.,Certified,https://www.ecoregistry.io/projects/15,CUSTODIAR SAS,South Pole Carbon Asset Management,Yes,PROTOCOL CVCC V2.1,Land use (AFOLU),CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Removal,,,2018-07-30,2018-07-30,2021-07-20,1,3,13212;52215;63212,CORDOBA
CDC-7,Reforestación Comercial en Meta,Certified,https://www.ecoregistry.io/projects/7,South Pole Carbon Asset Management,South Pole Carbon Asset Management,No,PROTOCOL CVCC V2.1,Land use (AFOLU),CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Removal,,,2009-08-01,2009-08-01,2029-07-31,1,0,,
CDC-60,BANAKALE - ISIMALI REDD+,Certified,https://www.ecoregistry.io/projects/60,REGUARDO INDIGENA SANTA TERESITA DEL TUPARRO,BIOFIX CONSULTORIA S.A.S BIC,No,PROTOCOL CVCC V2.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2016-01-01,2016-01-01,2035-12-31,1,2,05660;73678,SAN LUIS
CDC-53,BAKA ROKARIRE ~IA TIR+~DITO,Certified,https://www.ecoregistry.io/projects/53,Corporación Masbosques,Corporación Masbosques,No,PROTOCOL CVCC V2.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2018-01-01,2018-01-01,2047-12-31,1,0,,
CDC-79,Carbono Verde,Certified,https://www.ecoregistry.io/projects/79,Tekia S.A.S,Forestry Consulting Group S.A.S.,No,PROTOCOL CVCC V2.1,Land use (AFOLU),CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Removal,,,2011-05-23,2011-05-23,2030-05-22,1,4,13212;23580;52215;63212,CORDOBA;PUERTO LIBERTADOR
CDC-48,Granja Solar de Inírida,Retired,https://www.ecoregistry.io/projects/48, ALLCOT X Colombia S.A.S, ALLCOT X Colombia S.A.S,No,PROTOCOL CVCC V2.1,Energy industries,CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid,Avoidance,,,2020-04-11,2020-04-11,2040-04-10,1,1,94001,INIRIDA
CDC-43,Carbono Nueva Esperanza,Certified,https://www.ecoregistry.io/projects/43,Forestry Consulting Group S.A.S.,Forestry Consulting Group S.A.S.,No,PROTOCOL CVCC V2.1,Land use (AFOLU),CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Removal,,,2010-04-23,2010-04-23,2029-04-22,1,0,,
CDC-42,Carbono Inmunizar,Certified,https://www.ecoregistry.io/projects/42,Forestry Consulting Group S.A.S.,Forestry Consulting Group S.A.S.,No,PROTOCOL CVCC V2.1,Land use (AFOLU),CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Removal,,,2011-05-15,2011-05-15,2030-05-14,1,0,,
