COD_DANE
05134
05480
05756
05893
08001
15236
18150
18756
19318
19418
19585
23672
27001
27006
27025
27050
27077
27135
27150
27160
27205
27361
27372
27413
27430
27491
27493
27495
27600
27615
27800
41668
50590
52250
52490
52835
66682
68464
76109
91405
91669
94001
94888
95001
95025
97001
97161
97511
99773
