COD_DANE,fecha_inicio,fecha_fin,fuente,proyecto_id,anio_inicio,anio_fin
05001,2020-01-01,2060-12-31,Cercarbono,CDC-221,2020,2060.0
19392,2008-11-30,2038-11-29,Cercarbono,CDC-73,2008,2038.0
19392,2008-11-30,2038-11-29,Cercarbono,CDC-73,2008,2038.0
19392,2008-11-30,2038-11-29,Cercarbono,CDC-73,2008,2038.0
73168,2008-05-07,2058-05-06,Cercarbono,CDC-202,2008,2058.0
05021,2016-10-05,2036-10-04,Cercarbono,CDC-88,2016,2036.0
05021,2016-10-05,2036-10-04,Cercarbono,CDC-88,2016,2036.0
05021,2016-10-05,2036-10-04,Cercarbono,CDC-88,2016,2036.0
94001,2017-01-01,2046-12-31,Cercarbono,CDC-148,2017,2046.0
94001,2017-01-01,2046-12-31,Cercarbono,CDC-148,2017,2046.0
15759,2023-06-15,2033-06-14,Cercarbono,CDC-188,2023,2033.0
08001,2017-01-01,2046-12-31,Cercarbono,CDC-87,2017,2046.0
08001,2017-01-01,2046-12-31,Cercarbono,CDC-87,2017,2046.0
20250,2018-12-04,2048-12-03,Cercarbono,CDC-151,2018,2048.0
20250,2018-12-04,2048-12-03,Cercarbono,CDC-151,2018,2048.0
20250,2023-02-05,2033-02-04,Cercarbono,CDC-210,2023,2033.0
20383,2020-09-30,,RENARE,695d37c9dc90ca1cbe64d1fa,2020,
54518,2025-12-30,,RENARE,690caa31471be180c8ed9765,2025,
27077,2024-12-16,,RENARE,68c9d4fe2d88c288b51cf05c,2024,
76834,2018-11-29,,RENARE,68b22ce42cb375c800b83dbe,2018,
19585,2014-03-08,,RENARE,68b22ccb2cb375c800b83d94,2014,
76834,2019-01-01,,RENARE,68b22cb02cb375c800b83d72,2019,
76834,2012-01-01,,RENARE,68b22ca02cb375c800b83d63,2012,
20621,2018-05-29,,RENARE,68b22c9a2cb375c800b83d5c,2018,
27050,2019-12-13,,RENARE,68b22c952cb375c800b83d58,2019,
27050,2019-10-17,,RENARE,68b22c902cb375c800b83d54,2019,
05002,2009-02-15,,RENARE,68b22c752cb375c800b83d35,2009,
76834,2011-11-29,,RENARE,68b22c6a2cb375c800b83d2d,2011,
05847,2008-07-01,,RENARE,68b22c582cb375c800b83d1b,2008,
27077,2021-01-01,,RENARE,68b22c482cb375c800b83d0f,2021,
20383,2010-04-13,,RENARE,68b22c1a2cb375c800b83ce6,2010,
50124,2017-07-06,,RENARE,68b22bfc2cb375c800b83cb8,2017,
27025,2018-02-08,,RENARE,68b22bec2cb375c800b83ca9,2018,
05001,2010-02-15,,RENARE,68b22bb62cb375c800b83c76,2010,
17174,2002-06-04,,RENARE,68b22b922cb375c800b83c52,2002,
27050,2018-01-01,,RENARE,68b22b302cb375c800b83be7,2018,
76001,2010-09-14,,RENARE,68b22adf2cb375c800b83b9f,2010,
97161,2019-01-01,,RENARE,68b22a882cb375c800b83b53,2019,
27050,2018-01-01,,RENARE,68b22a512cb375c800b83b1f,2018,
76834,2011-11-29,,RENARE,68b2299e2cb375c800b83a6d,2011,
