COD_DANE,fuente,nombre_proyecto,anio_inicio,anio_fin,confianza,metodo
27600,verra,Origen Atrato-Baudó REDD+ Project,2019.0,2049.0,alta,punto_en_poligono
15236,verra,PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR,2014.0,2044.0,alta,punto_en_poligono
97511,verra,PROJECT MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI,2017.0,2037.0,alta,punto_en_poligono
97511,verra,Project MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI CONSERVACION ANCESTRAL,2020.0,2040.0,alta,punto_en_poligono
27361,verra,"PROJECT URAMIA – COMMUNITY-LED FOREST CONSERVATION REDD+ PROJECT IN CHOCÓ, COLOMBIA",2024.0,2064.0,alta,punto_en_poligono
27800,verra,Protection of mangroves and community developmental activities in the biodiversity hotspot of Colombia,2018.0,2048.0,alta,punto_en_poligono
91669,verra,Proyecto REDD++ PANI,2022.0,2061.0,alta,punto_en_poligono
05837,verra,Recovery of degraded areas with agroforestry systems in Colombia,2012.0,2112.0,alta,punto_en_poligono
66682,verra,REDD + in the Forests of the Otún River Basin,2016.0,2045.0,alta,punto_en_poligono
97001,verra,REDD PROJECT OF THE INDIGENOUS PEOPLES OF VAUPÉS YUTUCU AND  OTHERS,2017.0,2036.0,alta,punto_en_poligono
27006,verra,REDD+ CONSERVATION OF ETHNO SUSTAINABLE AFRO-COLOMBIAN COMMUNITY IN THE TROPICAL RAIN FOREST OF COLOMBIA,2018.0,2048.0,alta,punto_en_poligono
52490,verra,REDD+ Esteros y Manglares,2021.0,2031.0,alta,punto_en_poligono
05893,verra,REDD+ Project for the Conservation of Lowland Forest in the  Magdalena Medio Region of Colombia,2018.0,2048.0,alta,punto_en_poligono
18150,verra,REDD+ Project in the Alto Predio Putumayo Indigenous Reservation in Colombia,2018.0,2028.0,alta,punto_en_poligono
05134,verra,REDD+ Project Magnolios de Yarumal,2016.0,2036.0,alta,punto_en_poligono
91405,verra,REDD+ Project Pueblos indígenas resguardando la selva,2016.0,2026.0,alta,punto_en_poligono
99773,verra,REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),2013.0,2042.0,alta,punto_en_poligono
95015,verra,REDD+ Yaguara Llanos del Yari,,,alta,punto_en_poligono
27077,verra,REDD++ Manglares del Bajo Baudo,2022.0,2061.0,alta,punto_en_poligono
50573,verra,"REFORESTATION OF GRAZING LANDS HACIENDA EL MANANTIAL IN PUERTO LÓPEZ, COLOMBIA",2014.0,2054.0,alta,punto_en_poligono
99624,verra,Reforestation with Rubber on degraded lands of Colombia,2011.0,2046.0,alta,punto_en_poligono
05670,verra,Regenerating Colombian Coffee Ecosystems,2014.0,2054.0,alta,punto_en_poligono
05120,verra,"Restoration of degraded areas and reforestation in Cáceres and Cravo Norte, Colombia",2002.0,2032.0,alta,punto_en_poligono
68190,verra,RESTORED PRODUCTIVE LANDSCAPES IN THE MAGDALENA RIVER MIDDLE BASIN IN COLOMBIA,2023.0,2053.0,alta,punto_en_poligono
27430,verra,Rio Pepe y ACABA REDD+ Project,2014.0,2044.0,alta,punto_en_poligono
27495,verra,Riscales REDD+ Project,2014.0,2044.0,alta,punto_en_poligono
05647,verra,San Andres Hydroelectric project,2013.0,2023.0,alta,punto_en_poligono
