COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest,pixeles_totales
17616,RISARALDA,CALDAS,7059.69,100854
17653,SALAMINA,CALDAS,26328.51,435755
17662,SAMANÁ,CALDAS,69971.04,851765
17665,SAN JOSÉ,CALDAS,5029.29,68376
17777,SUPÍA,CALDAS,9257.85,136347
17867,VICTORIA,CALDAS,41212.71,627844
17873,VILLAMARÍA,CALDAS,30015.36,510585
17877,VITERBO,CALDAS,6911.73,126624
18001,FLORENCIA,CAQUETÁ,204126.3,2849203
18029,ALBANIA,CAQUETÁ,14935.32,461439
18094,BELÉN DE LOS ANDAQUÍES,CAQUETÁ,92801.61,1332068
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,1191897.63,14302826
18205,CURILLO,CAQUETÁ,28104.21,446272
18247,EL DONCELLO,CAQUETÁ,74823.3,1237337
18256,EL PAUJÍL,CAQUETÁ,71615.87999999999,1381162
18410,LA MONTAÑITA,CAQUETÁ,112771.34999999999,1902513
18460,MILÁN,CAQUETÁ,67977.09,1364826
18479,MORELIA,CAQUETÁ,16244.64,517043
18592,PUERTO RICO,CAQUETÁ,320997.87,4639626
18610,SAN JOSÉ DEL FRAGUA,CAQUETÁ,114188.58,1463989
18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,1684860.21,22595898
18756,SOLANO,CAQUETÁ,4174247.25,47306631
18785,SOLITA,CAQUETÁ,30470.67,533159
18860,VALPARAÍSO,CAQUETÁ,65597.31,1487164
19001,POPAYÁN,CAUCA,32515.469999999998,536575
19022,ALMAGUER,CAUCA,17274.78,264342
19050,ARGELIA,CAUCA,73098.9,865808
19075,BALBOA,CAUCA,25244.46,461141
19100,BOLÍVAR,CAUCA,41200.56,890579
19110,BUENOS AIRES,CAUCA,31476.6,486150
19130,CAJIBÍO,CAUCA,44391.78,617112
19137,CALDONO,CAUCA,29287.079999999998,396575
19142,CALOTO,CAUCA,15119.82,296129
19212,CORINTO,CAUCA,22674.96,364582
19256,EL TAMBO,CAUCA,238518.63,3059399
19290,FLORENCIA,CAUCA,2984.85,63230
19300,GUACHENÉ,CAUCA,2106.18,112575
19318,GUAPI,CAUCA,251783.91,2863495
19355,INZÁ,CAUCA,79027.56,968715
19364,JAMBALÓ,CAUCA,19851.12,262164
19392,LA SIERRA,CAUCA,15217.56,232721
19397,LA VEGA,CAUCA,40937.58,576340
19418,LÓPEZ DE MICAY,CAUCA,331023.77999999997,3760679
19450,MERCADERES,CAUCA,18526.5,778824
19455,MIRANDA,CAUCA,10017.81,212215
19473,MORALES,CAUCA,43444.259999999995,571575
19513,PADILLA,CAUCA,1231.2,77952
19517,PÁEZ,CAUCA,151403.22,2005754
19532,PATÍA,CAUCA,34471.35,843144
19533,PIAMONTE,CAUCA,106464.87,1234141
19548,PIENDAMÓ - TUNÍA,CAUCA,14834.97,202600
19573,PUERTO TEJADA,CAUCA,1245.69,122112
19585,PURACÉ,CAUCA,58322.07,948095
19622,ROSAS,CAUCA,12730.68,188861
19693,SAN SEBASTIÁN,CAUCA,32927.76,467954
19698,SANTANDER DE QUILICHAO,CAUCA,28181.61,579307
19701,SANTA ROSA,CAUCA,358482.14999999997,4042451
19743,SILVIA,CAUCA,42233.58,761357
19760,SOTARÁ PAISPAMBA,CAUCA,38589.93,576375
19780,SUÁREZ,CAUCA,29810.879999999997,438532
19785,SUCRE,CAUCA,9743.67,151701
19807,TIMBÍO,CAUCA,15697.349999999999,224928
19809,TIMBIQUÍ,CAUCA,202056.12,2296023
19821,TORIBÍO,CAUCA,37959.479999999996,550505
19824,TOTORÓ,CAUCA,24735.42,452163
19845,VILLA RICA,CAUCA,1229.3999999999999,91247
20001,VALLEDUPAR,CESAR,202406.58,4760947
20011,AGUACHICA,CESAR,27312.57,991720
20013,AGUSTÍN CODAZZI,CESAR,101419.2,1989726
20032,ASTREA,CESAR,19447.11,723205
20045,BECERRIL,CESAR,73472.84999999999,1389928
20060,BOSCONIA,CESAR,11841.75,665903
20175,CHIMICHAGUA,CESAR,78361.65,1559289
20178,CHIRIGUANÁ,CESAR,62764.649999999994,1263130
20228,CURUMANÍ,CESAR,61210.619999999995,1036712
20238,EL COPEY,CESAR,63743.759999999995,1086597
20250,EL PASO,CESAR,27987.12,922785
20295,GAMARRA,CESAR,5372.01,369420
20310,GONZÁLEZ,CESAR,4955.3099999999995,82179
20383,LA GLORIA,CESAR,38526.659999999996,908035
20400,LA JAGUA DE IBIRICO,CESAR,50072.4,856964
20443,MANAURE BALCÓN DEL CESAR,CESAR,11692.26,155449
20517,PAILITAS,CESAR,36557.729999999996,601861
20550,PELAYA,CESAR,23044.59,479032
20570,PUEBLO BELLO,CESAR,60792.03,845668
20614,RÍO DE ORO,CESAR,23924.52,585934
20621,LA PAZ,CESAR,67505.76,1218812
20710,SAN ALBERTO,CESAR,27274.77,621014
20750,SAN DIEGO,CESAR,32512.41,733546
20770,SAN MARTÍN,CESAR,35506.53,1121482
20787,TAMALAMEQUE,CESAR,23023.17,581048
23001,MONTERÍA,CÓRDOBA,45592.2,3543812
23068,AYAPEL,CÓRDOBA,75450.06,2219689
23079,BUENAVISTA,CÓRDOBA,10879.56,942849
23090,CANALETE,CÓRDOBA,14951.88,474568
23162,CERETÉ,CÓRDOBA,1672.3799999999999,328927
23168,CHIMÁ,CÓRDOBA,4207.7699999999995,366599
23182,CHINÚ,CÓRDOBA,8041.86,708686
23189,CIÉNAGA DE ORO,CÓRDOBA,11541.24,725183
23300,COTORRA,CÓRDOBA,722.88,99693
23350,LA APARTADA,CÓRDOBA,5578.83,324064
23417,LORICA,CÓRDOBA,19582.559999999998,1076162
23419,LOS CÓRDOBAS,CÓRDOBA,16225.47,413668
23464,MOMIL,CÓRDOBA,2631.7799999999997,179743
23466,MONTELÍBANO,CÓRDOBA,86982.3,1749566
23500,MOÑITOS,CÓRDOBA,11213.73,230035
23555,PLANETA RICA,CÓRDOBA,15522.75,1287820
23570,PUEBLO NUEVO,CÓRDOBA,18650.88,959689
23574,PUERTO ESCONDIDO,CÓRDOBA,14695.74,464844
23580,PUERTO LIBERTADOR,CÓRDOBA,113000.84999999999,1857707
23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,1523.79,133266
23660,SAHAGÚN,CÓRDOBA,8742.96,1091198
23670,SAN ANDRÉS DE SOTAVENTO,CÓRDOBA,4020.21,234018
23672,SAN ANTERO,CÓRDOBA,9206.279999999999,234869
23675,SAN BERNARDO DEL VIENTO,CÓRDOBA,9946.26,357169
23678,SAN CARLOS,CÓRDOBA,6863.94,504961
23682,SAN JOSÉ DE URÉ,CÓRDOBA,30630.239999999998,592863
23686,SAN PELAYO,CÓRDOBA,5832.9,503973
23807,TIERRALTA,CÓRDOBA,415047.24,5566281
23815,TUCHÍN,CÓRDOBA,4348.62,120447
23855,VALENCIA,CÓRDOBA,44837.1,1037329
25001,AGUA DE DIOS,CUNDINAMARCA,3457.62,96420
25019,ALBÁN,CUNDINAMARCA,4529.97,57069
25035,ANAPOIMA,CUNDINAMARCA,8879.58,139082
25040,ANOLAIMA,CUNDINAMARCA,9824.85,135746
25053,ARBELÁEZ,CUNDINAMARCA,11275.83,159754
25086,BELTRÁN,CUNDINAMARCA,13447.08,198454
25095,BITUIMA,CUNDINAMARCA,5500.53,68514
25099,BOJACÁ,CUNDINAMARCA,4761.0,114818
25120,CABRERA,CUNDINAMARCA,26864.1,472906
25123,CACHIPAY,CUNDINAMARCA,4818.42,60005
25126,CAJICÁ,CUNDINAMARCA,1323.72,57105
