category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_type,project_type_source,project_url,proponent,protocol,protocol_unassigned,registry,retired,status,vintage_start,vintage_end,credit_rows,startDate,endDate,fuente
forest,Colombia,,,False,0.0,,Finca la Paz II,VCS3594,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/3594,Col La Paz SAS,['vm0047'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,REDD+ Project for the Conservation of Lowland Forest in the  Magdalena Medio Region of Colombia,VCS3564,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/3564,Fundación Biodiversa Colombia (FBC),['vm0015'],,verra,0.0,completed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,ACABA REDD+ Project,VCS3475,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/3475,"Consejo Comunitario General Del Río Baudo y sus Afluentes, ACABA",['vm0009'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,2026-04-24 00:00:00+00:00,,False,19871.0,,"Sustainable Agroforestry Cacao Meta, Colombia",VCS3450,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/3450,Multiple Proponents,['ar-acm0003'],,verra,0.0,registered,2021.0,2021.0,1.0,2021.0,2021.0,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,Bajo Atrato REDD+ Project,VCS3210,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/3210,Multiple Proponents,['vm0009'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,ASATIQ Vaupés Maloca REDD+ Project,VCS3215,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/3215,Association of Traditional Indigenous Authorities of Querarí (ASATIQ),['vm0009'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,ASATRIZY Vaupés Maloca REDD+ Project,VCS3216,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/3216,Association of Traditional Indigenous Authorities of the Yapú Zone (ASATRIZY),['vm0009'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,REDD+ Project in the Alto Predio Putumayo Indigenous Reservation in Colombia,VCS3217,Unknown,carbonplan,https://registry.verra.org/app/projectDetail/VCS/3217,"Asociación de Autoridades Tradicionales y Cabildos De Los Pueblos Indígenas Murui, Muinane, Coreguaje y Nasa Del Municipio De Leguizamo y Puerto Asis, Alto Resguardo Predio Putumayo - ACILAPP",['vm0009'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,Origen Atrato-Baudó REDD+ Project,VCS3218,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/3218,Multiple Proponents,['vm0009'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,Proyecto REDD++ PANI,VCS3145,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/3145,Multiple Proponents,['vm0007'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
