COD_DANE,year,proyectos_berkeley_co
70771,2017,1
70771,2018,1
70771,2019,1
70771,2020,1
70771,2021,1
70771,2022,1
70771,2023,1
70771,2024,1
76100,2007,1
76100,2008,1
76100,2009,1
76100,2010,1
76100,2011,1
76100,2012,1
76100,2013,1
76100,2014,1
76100,2015,1
76100,2016,1
76100,2017,1
76100,2018,1
76100,2019,1
76100,2020,1
76100,2021,1
76100,2022,1
76100,2023,1
76100,2024,1
76126,2013,1
76126,2014,1
76126,2015,1
76126,2016,1
76126,2017,1
76126,2018,1
76126,2019,1
76126,2020,1
76126,2021,1
76126,2022,1
76126,2023,1
76126,2024,1
76563,2009,1
76563,2010,1
76563,2011,1
76563,2012,1
76563,2013,1
76563,2014,1
76563,2015,1
76563,2016,1
76563,2017,1
76563,2018,1
76563,2019,1
76563,2020,1
76563,2021,1
76563,2022,1
76563,2023,1
76563,2024,1
81220,2002,1
81220,2003,1
81220,2004,1
81220,2005,1
81220,2006,1
81220,2007,1
81220,2008,1
81220,2009,1
81220,2010,1
81220,2011,1
81220,2012,1
81220,2013,1
81220,2014,1
81220,2015,1
81220,2016,1
81220,2017,1
81220,2018,1
81220,2019,1
81220,2020,1
81220,2021,1
81220,2022,1
81220,2023,1
81220,2024,1
