clave,fuente,nombre_proyecto,COD_DANE,NOMBRE_MPI,clasificacion_sugerida,motivo_sugerencia,clasificacion_final,justificacion,clase_redd_sugerida,motivo_redd,clase_redd_final,justificacion_redd,sector__actividades,sector__afolu_activities,sector__clase_metodologia,sector__es_wrc,sector__estado_registro,sector__methodology,sector__programme_of_activities,sector__projectType,sector__sectoralScope,sector__status_registro,sector__tipo
verra|acaba redd+ project,verra,ACABA REDD+ Project,27025,ALTO BAUDÓ,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0009 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S1,VM0009 (Version NA),,,Agriculture Forestry and Other Land Use,Pipeline listing (under development) approved,
verra|acapa -­ bajo mira y frontera redd+ project,verra,Acapa -­ Bajo Mira Y Frontera REDD+ Project,52835,SAN ANDRÉS DE TUMACO,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0006 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S3,VM0006 (Version NA),,,Agriculture Forestry and Other Land Use,Registered,
"verra|afforestation of degraded grasslands in vichada, colombia",verra,"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA",99001,PUERTO CARREÑO,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ARR,AFOLU_NO_REDD,False,S3,AR-ACM0003 (Version NA),,,Agriculture Forestry and Other Land Use,Registered,
verra|asatiq vaupes maloca redd+ project,verra,ASATIQ Vaupés Maloca REDD+ Project,97001,MITÚ,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0009 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S1,VM0009 (Version NA),,,Agriculture Forestry and Other Land Use,Inactive,
verra|asatrizy vaupes maloca redd+ project,verra,ASATRIZY Vaupés Maloca REDD+ Project,97001,MITÚ,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0009 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S2,VM0009 (Version NA),,,Agriculture Forestry and Other Land Use,Registration and verification approval requested,
verra|axia energia cogeneration project in familia,verra,AXIA Energia Cogeneration Project in Familia,05001,MEDELLÍN,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S1,AMS-II.D. (Version NA),,,Manufacturing industries,Pipeline listing (under development) approved,
verra|axia energia cogeneration project in unibol,verra,AXIA Energia Cogeneration Project in Unibol,08758,SOLEDAD,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S1,AMS-II.D. (Version 13),,,Manufacturing industries,Pipeline listing (under development) approved,
verra|bajo atrato redd+ project,verra,Bajo Atrato REDD+ Project,27615,RIOSUCIO,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0009 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S2,VM0009 (Version NA),,,Agriculture Forestry and Other Land Use,Registration and verification approval requested,
verra|bajo calima y bahia malaga (bcbm) redd+ project,verra,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,76109,BUENAVENTURA,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0006 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S3,VM0006 (Version NA),,,Agriculture Forestry and Other Land Use,Registered,
verra|bella bosque vichada afforestation project,verra,Bella Bosque Vichada Afforestation Project,99524,LA PRIMAVERA,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ARR,AFOLU_NO_REDD,False,S1,VM0047 (Version NA),,,Agriculture Forestry and Other Land Use,Under validation (Public comment period closed),
"verra|bionersis landfill project in pasto, colombia",verra,"Bionersis landfill  project in Pasto, Colombia",52001,PASTO,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S2,AMS-III.G. (Version NA),,,Waste handling and disposal,Late to Verify,
