Project ID,Project Name,COD_DANE,start_year,source
VCS491,"Bionersis landfill project in Pasto, Colombia",41206,,berkeley_vrod
VCS491,"Bionersis landfill project in Pasto, Colombia",52001,,berkeley_vrod
VCS576,"Restoration of degraded areas and reforestation in Cáceres and Cravo Norte, Colombia",05120,2002.0,berkeley_vrod
VCS576,"Restoration of degraded areas and reforestation in Cáceres and Cravo Norte, Colombia",41206,2002.0,berkeley_vrod
VCS576,"Restoration of degraded areas and reforestation in Cáceres and Cravo Norte, Colombia",81220,2002.0,berkeley_vrod
VCS1065,HYDROELECTRIC PROJECT ITUANGO,05001,,berkeley_vrod
VCS1065,HYDROELECTRIC PROJECT ITUANGO,05361,,berkeley_vrod
VCS1169,EPM Grouped Natural Gas Project,05001,,berkeley_vrod
VCS1173,San Andres Hydroelectric project,88001,,berkeley_vrod
VCS1173,San Andres Hydroelectric project,41206,,berkeley_vrod
VCS1173,San Andres Hydroelectric project,68669,,berkeley_vrod
VCS1206,Montanitas Hydroelectric Project,41206,2012.0,berkeley_vrod
VCS1233,Reforestation with Rubber on degraded lands of Colombia,41206,2012.0,berkeley_vrod
VCS1378,"Forestry Project for the Basin of the Chinchina River, an Environmental and Productive Alternative for the City and the Region",17174,2003.0,berkeley_vrod
VCS1390,Carmen del Darién (CDD) REDD+ Project,27150,2014.0,berkeley_vrod
VCS1395,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,68432,2013.0,berkeley_vrod
VCS1395,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,76126,2013.0,berkeley_vrod
VCS1399,Mutatá REDD+ Project,05480,2013.0,berkeley_vrod
VCS1429,Recovery of degraded areas with agroforestry systems in Colombia,41206,,berkeley_vrod
VCS1434,"Forestry Project ""More Forests for Medellin""",05001,,berkeley_vrod
VCS1657,"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",47288,,berkeley_vrod
VCS1657,"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",41206,,berkeley_vrod
