COD_DANE,tratado_panel,cohorte_panel,NOMBRE_MPI,DPTO_CNMBR,n_proyectos,area_redd_ha,area_municipio_ha,bosque_base_ha,dosis_area_cruda,dosis_bosque_cruda,dosis_area,dosis_bosque,desborda_area,desborda_bosque,tiene_dosis,tercil_dosis,cohorte,definicion_tratamiento
23672,1,2015.0,SAN ANTERO,CÓRDOBA,1.0,7561.0,20742.674387859235,9083.548110088224,0.3645142308373447,0.8323839878827441,0.3645142308373447,0.8323839878827441,0.0,0.0,1,alto,2015.0,original
27001,1,2016.0,QUIBDÓ,CHOCÓ,1.0,1000000.0,350864.4569505322,344621.4278481817,2.8501034521743773,2.901734828980328,1.0,1.0,1.0,1.0,1,alto,2016.0,original
27205,1,2019.0,CONDOTO,CHOCÓ,1.0,65452.0,46788.62218438783,45650.78041676434,1.3988870999890153,1.4337542403976966,1.0,1.0,1.0,1.0,1,alto,2019.0,original
27361,1,2024.0,ISTMINA,CHOCÓ,1.0,255220.0,188107.20761536635,185442.8602519342,1.3567794835478235,1.3762729913315064,1.0,1.0,1.0,1.0,1,alto,2024.0,original
27495,1,2014.0,NUQUÍ,CHOCÓ,1.0,162314.0,70465.16084252311,69984.14615086731,2.303464549846731,2.319296711145035,1.0,1.0,1.0,1.0,1,alto,2014.0,original
27600,1,2019.0,RÍO QUITO,CHOCÓ,1.0,113492.0,69933.72444541953,69053.02726946237,1.622850790516326,1.643548508845608,1.0,1.0,1.0,1.0,1,alto,2019.0,original
52490,1,2021.0,OLAYA HERRERA,NARIÑO,1.0,117999.0,100466.8271161822,87037.86968684795,1.1745070824576074,1.3557202218361568,1.0,1.0,1.0,1.0,1,alto,2021.0,original
76109,1,2013.0,BUENAVENTURA,VALLE DEL CAUCA,3.0,634310.0,630098.6193580008,607536.2050272587,1.0066836849226717,1.0440694640931565,1.0,1.0,1.0,1.0,1,alto,2013.0,original
91405,1,2016.0,LA CHORRERA,AMAZONAS,1.0,3663485.0,1264144.9089981967,1267568.6451889868,2.897994505157815,2.890166945912264,1.0,1.0,1.0,1.0,1,alto,2016.0,original
91669,1,2022.0,PUERTO SANTANDER,AMAZONAS,1.0,1492307.0,1469198.551601675,1458051.983873479,1.0157286082082866,1.0234936864428652,1.0,1.0,1.0,1.0,1,alto,2022.0,original
97511,1,2017.0,PACOA,VAUPÉS,2.0,1627439.0,1394684.2185101395,1395088.9797966774,1.1668870833990643,1.1665485310027937,1.0,1.0,1.0,1.0,1,alto,2017.0,original
94001,1,2017.0,INÍRIDA,GUAINÍA,1.0,1000.0,1589123.254379026,1484243.592045368,0.0006292778091594,0.0006737438553613,0.0006292778091594,0.0006737438553613,0.0,0.0,1,bajo,2017.0,original
41668,1,2014.0,SAN AGUSTÍN,HUILA,1.0,1000.0,139085.04600442527,132058.58307453443,0.0071898455565681,0.0075723968614413,0.0071898455565681,0.0075723968614413,0.0,0.0,1,bajo,2014.0,original
05893,1,2018.0,YONDÓ,ANTIOQUIA,1.0,8244.0,189271.3927935046,142172.8104411139,0.0435565030632717,0.0579857707983803,0.0435565030632717,0.0579857707983803,0.0,0.0,1,bajo,2018.0,original
15236,1,2014.0,CHIVOR,BOYACÁ,1.0,937.0,10849.319931897142,8187.351499124225,0.0863648602752701,0.1144448238359166,0.0863648602752701,0.1144448238359166,0.0,0.0,1,bajo,2014.0,original
66682,1,2016.0,SANTA ROSA DE CABAL,RISARALDA,1.0,5603.0,54334.32335987082,43197.59969699537,0.1031208203862193,0.1297062808883272,0.1031208203862193,0.1297062808883272,0.0,0.0,1,bajo,2016.0,original
52835,1,2013.0,SAN ANDRÉS DE TUMACO,NARIÑO,1.0,58212.0,361745.8057708074,339520.7555782674,0.1609196266310869,0.1714534355958712,0.1609196266310869,0.1714534355958712,0.0,0.0,1,bajo,2013.0,original
18150,1,2018.0,CARTAGENA DEL CHAIRÁ,CAQUETÁ,1.0,209395.0,1277136.0172253083,1191807.6088975903,0.1639566946478647,0.175695303870134,0.1639566946478647,0.175695303870134,0.0,0.0,1,bajo,2018.0,original
