id,created_at,updated_at,name,description,status,gsf_standards_version,estimated_annual_credits,crediting_period_start_date,crediting_period_end_date,methodology,type,size,sustaincert_id,sustaincert_url,project_developer,carbon_stream,country,country_code,latitude,longitude,state,crediting_periods,programme_of_activities,sustainable_development_goals,labels,poa_project_id,poa_project_sustaincert_id,poa_project_name,fuente,metodo_correccion,COD_DANE,NOMBRE_MPI
570,2019-03-27T13:51:12Z,2020-05-26T15:50:21Z,GEN+: Alejandría Small Hydropower (SHP) Run-of-the-River CDM Project Bundle,"Run-of-the-River CDM Project is a greenfield project carried out in the Department of Antioquia, Colombia, to be built and operated by GEN+. It consists of a Run-of-the-River Small Hydroelectric Power (“SHP"") Plant with an installed capacity of 15MW feeding the National Electricity Grid with approximately 97.52 GWh/year.",LISTED,Gold Standard for the Global Goals,34153,2014-07-08,2019-07-08,,"Small, Low - Impact Hydro",Small Scale,3375,https://assurance-platform.goldstandard.org/project-documents/GS3375,CAEMA,VER,Colombia,CO,6.3769,-75.1411,,,VPA,"[{'name': 'Goal 9: Industry, Innovation and Infrastructure', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}]",[],556.0,3349.0,Programme of Activities for the Development and Promotion of Renewable Energy,goldstandard,intercambiado_y_negado,05021,ALEJANDRÍA
556,2019-03-27T13:51:09Z,2021-11-19T07:28:22Z,Programme of Activities for the Development and Promotion of Renewable Energy,"The purpose of this programme of activities is to invest in and create new clean energy projects that reduce Colombia`s CO2 emissions as well as promoting the culture of clean energy in various municipalities in Colombia. This PoA has been created by GEN+, a company which generates and promotes clean energy.",LISTED,Gold Standard for the Global Goals,61539,2012-11-28,2022-11-27,,"Small, Low - Impact Hydro",Small Scale,3349,https://assurance-platform.goldstandard.org/project-documents/GS3349,CAEMA,VER,Colombia,CO,6.4,-75.55,,,POA,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}]",[],,,,goldstandard,signo_lon_negado,05664,SAN PEDRO DE LOS MILAGROS
