fuente,nombre_proyecto,municipios_mencionados,cod_dane,Project ID,Sector
cercarbono,CARBONO NEGOCIOS AGROFORESTALES ,CAUCASIA;SAN JACINTO;ZARAGOZA,05154;05895;13654,CDC-21,Land use (AFOLU)
cercarbono,PCH CANTAYUS,CISNEROS;SANTA ANA,05190;47707,CDC-161,Energy industries
cercarbono,Cucuana Hydroelectric Power Plant,RONCESVALLES;SAN MARCOS,70708;73622,CDC-74,Energy industries
cercarbono,SKCARBONO,CALDAS;RISARALDA,05129;15131;17616,CDC-46,Land use (AFOLU)
cercarbono,Proyecto hidroeléctrico Porce III,AMALFI;GOMEZ PLATA;MEDELLIN,05001;05031;05310,CDC-16,Energy industries
cercarbono,PROYECTO REDD+ PAZCÍFICO SUR,NARINO,05483;25483;52480,CDC-114,Land use (AFOLU)
cercarbono,"Manejo Sostenible de los Bosques Aplicado al Predio Santa Ana, Vereda El Popal, Municipio De Sonsón, Bajo El Esquema BancO2",SANTA ANA;SONSON,05756;47707,CDC-65,Land use (AFOLU)
cercarbono,CARBONO GRESCO2,CALDAS;LA FLORIDA;MANZANARES;PENSILVANIA;SILVANIA;VILLAMARIA,05129;15131;17433;17541;17873;25743;52381,CDC-17,Land use (AFOLU)
cercarbono,MultiAntioquia,AGUADA;AGUADAS;BUENOS AIRES;CALDAS;LA FLORIDA;SAN ROQUE,05129;05670;15131;17013;19110;52381;68013,CDC-26,Land use (AFOLU)
cercarbono,Carbono La Puya y San Lorenzo,CORDOBA;LOS CORDOBAS;SAN LORENZO,13212;23419;52215;52687;63212,CDC-5,Land use (AFOLU)
cercarbono,Proyecto forestal de mitigación de cambio climático “Forestal de La Orinoquía”,LA PRIMAVERA;PUERTO CARRENO,99001;99524,CDC-8,Land use (AFOLU)
cercarbono,Proyecto agrupado HZ Energy,AMALFI;SAN ROQUE,05031;05670,CDC-86,Energy industries
cercarbono,Carbono Agroforestal La Argentina,LA ARGENTINA;MEDELLIN;VEGACHI,05001;05858;41378,CDC-31,Land use (AFOLU)
cercarbono,Bonos Verdes Colombia Grupo Custodiar S.A.,CORDOBA,13212;52215;63212,CDC-15,Land use (AFOLU)
cercarbono,BANAKALE - ISIMALI REDD+,SAN LUIS,05660;73678,CDC-60,Land use (AFOLU)
cercarbono,Carbono Verde,CORDOBA;PUERTO LIBERTADOR,13212;23580;52215;63212,CDC-79,Land use (AFOLU)
cercarbono,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en los municipios de Sucre y el Peñón Santander, Colombia.",EL PENON,13268;25258;68250,CDC-27,Land use (AFOLU)
