timestamp,status,current,total,checkpoint_rows,latest_line
2026-04-13 14:09:20,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:10:20,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:11:21,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:12:21,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:13:22,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:14:22,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:15:23,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:16:23,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:17:24,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:18:24,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:19:25,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:20:25,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:21:26,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:22:26,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:23:27,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:24:27,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:25:28,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:26:28,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:27:29,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:28:29,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:29:30,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:30:30,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:31:31,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:32:31,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:33:32,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:34:32,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:35:33,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:36:33,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:37:33,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:38:34,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:39:34,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:40:35,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:41:36,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-04-13 14:42:36,RUNNING,136,1122,26928,Processing municipality 136/1122: SANTA MAR�A (15690)
2026-08-01 09:13:39,STOPPED,,,26928,
2026-08-01 09:28:33,STOPPED,,,26928,
2026-08-01 10:04:10,STOPPED,,,26928,
