covariable,smd_principal,smd_sin_tempranas
distance,0.008924560375250053,-0.013909289263850207
log_defor_pre_media,0.13778472309946482,0.2140080943987481
defor_pre_tendencia,-0.003697512233972373,-0.018971472158974084
log_baseline_forest,0.07128361646362778,0.023826480024576963
temp_media_c_base,-0.022946252403112745,-0.012128335688369804
prec_anual_mm_base,-0.09325294710088715,-0.08543638228005912
altura_base,-0.04334871005687526,-0.021148479334622865
discapital_base,-0.037714465624611004,-0.12279303946037416
disbogota_base,0.07010084131804072,-0.06992993699207493
distancia_mercado_base,-0.008837254961971347,-0.16252159230700192
H_coca_base,0.1099833319964641,0.14311709824834923
homicidios_base,0.0033328926886587586,0.05565002723472927
o_desplaza_base,0.09453491839412098,0.13179999758021677
