covariable,smd_principal,smd_sin_tempranas
distance,0.0011108488356964396,0.0011108488356964396
log_defor_pre_media,-0.030750794387804398,-0.030750794387804398
defor_pre_tendencia,-8.08109384713658e-4,-8.08109384713658e-4
log_baseline_forest,-0.12429224187018441,-0.12429224187018441
temp_media_c_base,0.005997948012543692,0.005997948012543692
prec_anual_mm_base,0.10849166076149995,0.10849166076149995
altura_base,-0.016165511225723215,-0.016165511225723215
discapital_base,-0.3571372453287186,-0.3571372453287186
disbogota_base,-0.22327197097677098,-0.22327197097677098
distancia_mercado_base,-0.26429719435457677,-0.26429719435457677
H_coca_base,-0.00942582239789161,-0.00942582239789161
homicidios_base,0.05129626768347831,0.05129626768347831
o_desplaza_base,0.13206048447809823,0.13206048447809823
