COD_DANE,NOMBRE_MPI,DPTO_CNMBR,tratado,ps,fuera_soporte,ps_extremo
08001,BARRANQUILLA,ATLÁNTICO,1,0.0010955708690878914,FALSE,TRUE
23672,SAN ANTERO,CÓRDOBA,1,0.0020407938000537545,FALSE,TRUE
15236,CHIVOR,BOYACÁ,1,0.002848389899615856,FALSE,TRUE
68464,MOGOTES,SANTANDER,1,0.01320550112692828,FALSE,FALSE
66682,SANTA ROSA DE CABAL,RISARALDA,1,0.01542255498963922,FALSE,FALSE
05134,CAMPAMENTO,ANTIOQUIA,1,0.03160939548293704,FALSE,FALSE
05756,SONSÓN,ANTIOQUIA,1,0.032610989615367764,FALSE,FALSE
41668,SAN AGUSTÍN,HUILA,1,0.037494203858825584,FALSE,FALSE
52490,OLAYA HERRERA,NARIÑO,1,0.07399052583254548,FALSE,FALSE
05893,YONDÓ,ANTIOQUIA,1,0.08181209988107248,FALSE,FALSE
50590,PUERTO RICO,META,1,0.10896504451470926,FALSE,FALSE
27800,UNGUÍA,CHOCÓ,1,0.13120473335321045,FALSE,FALSE
91669,PUERTO SANTANDER,AMAZONAS,1,0.138810917831396,FALSE,FALSE
52835,SAN ANDRÉS DE TUMACO,NARIÑO,1,0.18295395056736252,FALSE,FALSE
05480,MUTATÁ,ANTIOQUIA,1,0.18404560979670342,FALSE,FALSE
27006,ACANDÍ,CHOCÓ,1,0.21875021657808622,FALSE,FALSE
97161,CARURÚ,VAUPÉS,1,0.2367306010203806,FALSE,FALSE
27615,RIOSUCIO,CHOCÓ,1,0.2508518620560268,FALSE,FALSE
27495,NUQUÍ,CHOCÓ,1,0.2603801196281109,FALSE,FALSE
27372,JURADÓ,CHOCÓ,1,0.27840993700968186,FALSE,FALSE
27205,CONDOTO,CHOCÓ,1,0.31399415154805155,FALSE,FALSE
97511,PACOA,VAUPÉS,1,0.34623456155514637,FALSE,FALSE
95001,SAN JOSÉ DEL GUAVIARE,GUAVIARE,1,0.3703947960884394,FALSE,FALSE
27150,CARMEN DEL DARIÉN,CHOCÓ,1,0.3705231703091473,FALSE,FALSE
27491,NÓVITA,CHOCÓ,1,0.392653413583015,FALSE,FALSE
27135,EL CANTÓN DEL SAN PABLO,CHOCÓ,1,0.39422652625275795,FALSE,FALSE
94001,INÍRIDA,GUAINÍA,1,0.3992404833148992,FALSE,FALSE
95025,EL RETORNO,GUAVIARE,1,0.402473919375398,FALSE,FALSE
27160,CÉRTEGUI,CHOCÓ,1,0.40885964614463566,FALSE,FALSE
91405,LA CHORRERA,AMAZONAS,1,0.41199561426174314,FALSE,FALSE
27600,RÍO QUITO,CHOCÓ,1,0.4190693526761874,FALSE,FALSE
19318,GUAPI,CAUCA,1,0.45964746853456023,FALSE,FALSE
99773,CUMARIBO,VICHADA,1,0.46559938586556504,FALSE,FALSE
27025,ALTO BAUDÓ,CHOCÓ,1,0.4779384121615908,FALSE,FALSE
97001,MITÚ,VAUPÉS,1,0.4924185496037057,FALSE,FALSE
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,1,0.4959366514749058,FALSE,FALSE
27413,LLORÓ,CHOCÓ,1,0.6230370587165301,FALSE,FALSE
27001,QUIBDÓ,CHOCÓ,1,0.6729585320779574,FALSE,FALSE
18756,SOLANO,CAQUETÁ,1,0.7107658314367417,FALSE,FALSE
27430,MEDIO BAUDÓ,CHOCÓ,1,0.7208008280814072,FALSE,FALSE
27077,BAJO BAUDÓ,CHOCÓ,1,0.8519734335316258,TRUE,FALSE
27361,ISTMINA,CHOCÓ,1,0.8642058533725627,TRUE,FALSE
19418,LÓPEZ DE MICAY,CAUCA,1,0.8796776687863541,TRUE,FALSE
76109,BUENAVENTURA,VALLE DEL CAUCA,1,0.8957323707345546,TRUE,FALSE
15187,CHIVATÁ,BOYACÁ,0,3.4680352829541374e-5,TRUE,TRUE
15762,SORA,BOYACÁ,0,4.401512144145295e-5,TRUE,TRUE
15638,SÁCHICA,BOYACÁ,0,5.427997882435499e-5,TRUE,TRUE
