covariable,smd_principal,smd_sin_tempranas
distance,-0.0031051117279324598,-0.0031051117279324598
log_defor_pre_media,0.2135277932957924,0.2135277932957924
defor_pre_tendencia,-0.004349565349628252,-0.004349565349628252
log_baseline_forest,0.05051593594389976,0.05051593594389976
temp_media_c_base,-0.007942987833664305,-0.007942987833664305
prec_anual_mm_base,-0.12040394505781739,-0.12040394505781739
altura_base,-0.042651408998597685,-0.042651408998597685
discapital_base,-0.017424915360888048,-0.017424915360888048
disbogota_base,0.03786870817853853,0.03786870817853853
distancia_mercado_base,-0.004683529364136505,-0.004683529364136505
H_coca_base,0.017989160539838005,0.017989160539838005
homicidios_base,0.02518310211686816,0.02518310211686816
o_desplaza_base,0.03198735902963589,0.03198735902963589
