covariable,smd_principal,smd_sin_tempranas
distance,6.593902698005559e-4,-0.002912802831399688
log_defor_pre_media,0.10346820227155545,0.0921613401120545
defor_pre_tendencia,-0.018531189894626363,0.10942382782209906
log_baseline_forest,0.019381954491512064,-0.022393089442210117
temp_media_c_base,0.021677093099620397,-0.03159127418453414
prec_anual_mm_base,-0.03784908079872283,-0.005377663570138614
altura_base,-0.037650666671367884,-0.004173061730681599
discapital_base,0.0016679851157760611,-0.06497538734551789
disbogota_base,0.012298379622902525,-0.17685723038682383
distancia_mercado_base,0.012140738512923965,-0.14656485901881197
H_coca_base,0.03909080625546692,0.15717974927678333
homicidios_base,-0.002164771529070625,0.009505218813801656
o_desplaza_base,0.025425194782372044,0.02929998913398432
