covariable,smd_principal,smd_sin_tempranas
distance,0.0018001679775430527,0.0018001679775430527
log_defor_pre_media,-0.16122016301344363,-0.16122016301344363
defor_pre_tendencia,0.015587438182549741,0.015587438182549741
log_baseline_forest,-0.12604869679527586,-0.12604869679527586
temp_media_c_base,0.059265793306658245,0.059265793306658245
prec_anual_mm_base,0.11608304431033853,0.11608304431033853
altura_base,-0.025058219526223873,-0.025058219526223873
discapital_base,-0.35765127595033397,-0.35765127595033397
disbogota_base,-0.05649817974933683,-0.05649817974933683
distancia_mercado_base,-0.1177829121644417,-0.1177829121644417
H_coca_base,-0.10117162914155386,-0.10117162914155386
homicidios_base,-0.00736651949937806,-0.00736651949937806
o_desplaza_base,0.06938735942840392,0.06938735942840392
