parametro,ic_convencional,ic_rm_Mbar_0.5,ic_rm_Mbar_1,ruptura_Mbar,ruptura_M
e0,[-377.3 ; 432.8],[-575.1 ; 591.6],[-914.3 ; 864.7],0,NA
promedio_0_5,[-1029.5 ; 99.7],[-2220.5 ; 697.9],[-3593.2 ; 2012.9],0,NA
