estimador,att_post_prom,n_e,att_pre_prom
Callaway-Sant'Anna (DR),-464.8923796362135,6,-275.94116846984593
Sun-Abraham,-324.9030101114237,6,-427.7098129778784
Wooldridge (ETWFE),-341.4994807532385,6,-426.78032858913986
"Wooldridge, base = todo el previo",209.7487126090148,6,NA
