COD_DANE,log_defor_pre_media,defor_pre_tendencia,log_baseline_forest,n_anios_pre
05001,4.948050418904635,-0.11051356694945813,10.037781966485827,9
05002,4.318154558079471,-0.11590898425003804,10.576081964514259,9
05004,3.4452142670789296,1.1274528498077552,10.206494964762514,9
05021,2.9533465570575532,0.8467756330759029,9.305134054782531,9
05030,2.7140322727797574,0.3709181406547626,8.903060851177582,9
05031,6.03925421094383,0.601243624839106,11.635864872550556,9
05034,4.6316173560029394,0.7145672909300078,10.53153552146763,9
05036,2.864483986944037,0.07151155985127744,8.941461734984182,9
05038,5.517613526133353,0.5934284554222771,10.284001281243345,9
05040,6.435076073572641,0.005452801693400566,11.830490146455777,9
05042,4.441591872011272,-0.780161248843374,10.456545887293812,9
05044,4.47026642352329,-0.03510151271191564,9.766843320048809,9
05045,5.284015581837177,0.45758480509085864,10.825608654720925,9
05051,5.783794412625586,-0.0023461270718057037,10.674814013358974,9
05055,3.5926438462331105,0.30915395999398854,10.021694942585892,9
05059,2.688527534613346,-1.1846225242730373,8.952482438729266,9
05079,3.3253956682458736,0.7726067756635597,9.735853208646043,9
05086,3.3614165116503107,0.27892039657042744,10.06932947975629,9
05088,4.138520924554929,0.43164638707554204,9.15631070555627,9
05091,4.445588116163626,0.8069916947518001,9.712901942323711,9
05093,4.440059665924491,-0.056893890942116165,9.81070811769363,9
05101,5.125213198803691,0.7841365417312947,10.020970987761228,9
05107,4.199905057882593,0.3531392891064242,10.470461913923875,9
05113,3.4873750779032076,0.20686135644024572,10.051625621362376,9
05120,6.794844106504521,0.28680189677001167,11.73599429349276,9
05125,4.054390246715068,0.42779778062488694,9.69735658801154,9
05129,4.46843366241462,-0.08745667245052147,9.405329686185253,9
05134,4.478812997111569,1.212148352503883,9.921052875009744,9
05138,4.407816206360175,1.0861287773622128,10.466733315561445,9
05142,5.284218442168535,0.19264141482624808,9.9924723144536145,9
05145,2.604170070614818,-0.027700166308795904,8.816525633983716,9
05147,4.987707789452551,-0.06308781424521204,10.376304096824208,9
05148,3.5647324613710536,0.6745605510085859,10.47299341491245,9
05150,2.745345985845907,1.2851244669232118,9.407305026727004,9
05154,6.316153345188859,0.37841730455104017,11.067823128978564,9
05172,5.420977379283924,-0.8326291567531907,10.850878810206435,9
