outcome,base,muestra,especificacion,n,pendiente,ee_hc3,ic_hc3_inf,ic_hc3_sup,ee_boot,ic_boot_inf,ic_boot_sup,boot_fallidas,p_permutacion,media_att_i
relativo,g_menos_1,contdid_21,agrupada,21,0.6795005147580997,0.7140270861833923,-0.8149753521228151,2.1739763816390143,0.536930749548809,-0.39607316940110493,1.726576947680513,0,0.26432643264326433,0.028790968468917134
relativo,g_menos_1,contdid_21,ef_cohorte,21,0.40544939844691275,1.019849363842034,-1.7683080646536165,2.579206861547442,0.742941595733528,-0.8306182310890564,2.0757714703110013,0,0.6058605860586058,0.028790968468917134
relativo,g_menos_1,todos_25,agrupada,25,0.5985646905556993,0.5265458844864361,-0.49067846062199594,1.6878078417333944,0.40472913067120253,-0.2014240804004033,1.3852232552634673,0,0.21702170217021702,0.024855526761682744
relativo,g_menos_1,todos_25,ef_cohorte,24,0.4716077753533686,0.8755410505405419,-1.3756223721096137,2.318837922816351,0.6875695372479143,-0.6927121431211538,1.9933359586561556,0,0.49054905490549056,0.034662181106495306
relativo,g_menos_1,sin_censura,agrupada,19,0.9141444640616615,0.7114677225768693,-0.5869212201566097,2.415210148279933,0.4912613915613151,-0.0930837010239314,1.813741697613123,0,0.2613261326132613,-0.03866226776498429
relativo,promedio_pre5,contdid_21,agrupada,21,-0.3011840739060998,0.6729651289607291,-1.7097162765988958,1.1073481287866962,0.6129662190166283,-1.6899343434689127,0.7618343623708574,0,0.7148714871487148,-0.35538794888143865
relativo,promedio_pre5,contdid_21,ef_cohorte,21,-0.05674874060760482,0.8207888159567158,-1.8062186893790926,1.692721208163883,0.8667963278809437,-1.6484466585088837,1.761722625343498,0,0.953995399539954,-0.35538794888143865
relativo,promedio_pre5,todos_25,agrupada,25,-0.05308779897700533,0.4871215807987927,-1.0607755642957852,0.9545999663417746,0.41370436355223955,-0.8635545022242126,0.7421133331987075,0,0.9401940194019401,-0.296678884670767
relativo,promedio_pre5,todos_25,ef_cohorte,24,-0.0054821845012149595,0.7205529176356085,-1.5257159547820685,1.5147515857796385,0.8394585041974231,-1.338161283212707,1.7304530548804697,0,0.9954995499549955,-0.31318159748936963
relativo,promedio_pre5,sin_censura,agrupada,19,-1.1198228009340085,1.340930769435872,-3.948939427085827,1.7092938252178098,1.0020166602041232,-3.2969507666753075,0.5297322111350751,0,0.36753675367536753,-0.3772629687026246
hectareas,g_menos_1,contdid_21,agrupada,21,1052.437695653429,921.3663417480689,-876.0042205474658,2980.879611854324,787.988850345574,-312.0267039904284,2658.4686677986506,0,0.3402340234023402,-402.6221801358009
hectareas,g_menos_1,contdid_21,ef_cohorte,21,1676.045803122901,1644.8001154674052,-1829.7626555267657,5181.854261772567,1231.667441857976,-479.68820500191254,4427.534992262823,0,0.09520952095209521,-402.6221801358009
hectareas,g_menos_1,todos_25,agrupada,25,986.6182908731712,835.5725122659434,-741.895145682736,2715.1317274290786,691.8452167951239,-239.16480384737935,2329.7123605738907,0,0.2631263126312631,-341.75845834109975
hectareas,g_menos_1,todos_25,ef_cohorte,24,1486.4470557892644,1385.5859082963832,-1436.8836779607702,4409.777789539299,1106.1949019261672,-382.6864103079941,3909.1989443164935,0,0.08630863086308631,-353.3353238583411
hectareas,g_menos_1,sin_censura,agrupada,19,1525.7091344365072,1409.680660874048,-1448.4570836459238,4499.875352518939,1249.090987200769,-503.09998380655577,4330.765514566054,0,0.34313431343134315,-444.8850058861039
hectareas,promedio_pre5,contdid_21,agrupada,21,-412.42860333499794,294.57711264903946,-1028.9855859875838,204.12837931758787,284.74699218430266,-1069.6257848302125,24.21871368222517,0,0.3789378937893789,-55.61585394754366
hectareas,promedio_pre5,contdid_21,ef_cohorte,21,-235.95699330494733,471.20873467807485,-1240.3146366983265,768.4006500884319,463.1934275098281,-1194.9052234645503,645.083841703378,0,0.6718671867186718,-55.61585394754366
hectareas,promedio_pre5,todos_25,agrupada,25,-305.10780714844833,251.80285630161626,-826.0017021620408,215.7860878651441,229.380318406707,-803.8348892400663,75.34465159818377,0,0.42164216421642164,-54.22728704566641
hectareas,promedio_pre5,todos_25,ef_cohorte,24,-190.2923104931084,411.8914856565404,-1059.3073833081853,678.7227623219686,434.8876393338803,-1038.1779045237604,572.8552242608598,0,0.6858685868586859,-53.689621621621676
hectareas,promedio_pre5,sin_censura,agrupada,19,-826.54383641307,541.7435933127423,-1969.5229087756907,316.4352359495506,443.6126331374762,-1855.5683533273348,-129.60135015839543,0,0.24422442244224424,-51.77851007995298
