covariable,media_tratados_antes,media_tratados_despues,media_controles_antes,media_controles_despues,dif_estandarizada_antes,dif_estandarizada_despues,razon_varianzas_antes,razon_varianzas_despues,ecdf_media_antes,ecdf_media_despues,ecdf_max_antes,ecdf_max_despues,mejora_abs
distance,0.286458057497085,0.2307835742097674,0.025719164286153808,0.2315199304295848,1.0994996354320898,-0.0031051117279324598,13.0338508119047,0.9835759149864036,0.4001611450779658,0.013219764588507665,0.7160765913076449,0.057142857142857155,1.0963945237041575
log_defor_pre_media,5.304575156507729,5.302299246757634,3.8617117895481656,4.953316109967455,0.8828261262361443,0.2135277932957924,1.0881173530431278,1.149421224258012,0.24469334995932968,0.06822621907996548,0.41155978956348643,0.18201693845397146,0.6692983329403519
defor_pre_tendencia,0.3906762197732428,0.2986420665626281,0.144609522448316,0.3013862784321535,0.390014777017588,-0.004349565349628252,0.9130670796572363,0.915046985756767,0.09429301828793511,0.02860018623412894,0.17984264657092755,0.08775584000969201,0.38566521166795975
log_baseline_forest,12.136955889209812,12.069797504856322,9.683053493558095,11.97947833579171,1.3724791482818615,0.05051593594389976,1.4575136297526614,1.576966083803116,0.3672623279370045,0.02021991379771308,0.6407412673586426,0.12677871148459385,1.3219632123379617
temp_media_c_base,22.686582353956116,22.581656727153646,19.52473948424863,22.61454511039944,0.7636276693308294,-0.007942987833664305,0.6780774559508543,1.6369915412556615,0.17872134692837097,0.05141935896215677,0.4464429593819612,0.16353329223806257,0.7556846814971651
prec_anual_mm_base,4073.185280310792,3690.1438086011835,1877.8310610269916,3942.7722533643505,1.046316494759316,-0.12040394505781739,4.1230372997765246,0.9840748111898924,0.3389895219135688,0.026055457799948115,0.5896961941324234,0.12651707755817862,0.9259125497014986
altura_base,375.1025641025641,405.1714285714286,1159.941774491682,432.7382388779675,-1.2143043677600416,-0.042651408998597685,0.4969131092299195,1.1221906338901642,0.28771248894240503,0.03964928339957386,0.5231527560547893,0.17843180202119951,1.171652958761444
discapital_base,122.9227117948718,124.38228357142857,79.8386585878928,125.86887244830888,0.5050057835163348,-0.017424915360888048,2.0996209813625053,0.7954648720692591,0.1821828103325927,0.046962720154155514,0.3392814825347173,0.11886720636554587,0.4875808681554468
disbogota_base,423.20882702564097,432.5392346857143,317.7611091543438,426.90421900124926,0.7086349142149927,0.03786870817853853,0.5811194661097411,0.6743830901826307,0.18967944230853032,0.04027785432149945,0.39513721029432675,0.11696946383530428,0.6707662060364542
distancia_mercado_base,188.84105292307692,201.3664504,64.12988226173752,202.224439250127,0.6807645923857343,-0.004683529364136505,3.695023319834275,0.7117702873332394,0.2733890764575031,0.04538710396738547,0.4804493103938575,0.19694094498996262,0.6760810630215978
H_coca_base,564.0338461538462,621.5142857142857,106.21142329020333,592.7709877410182,0.28653083133645085,0.017989160539838005,4.62087001163031,0.8697634854761854,0.20017094017094017,0.025042168996661188,0.35316839660647426,0.08582151559810917,0.26854167079661284
homicidios_base,28.435897435897434,23.82857142857143,19.879852125693162,21.618424906951795,0.09749026168886148,0.02518310211686816,0.6843411158604219,0.33214505418066514,0.04482819985208993,0.03230550252930778,0.17176169486705528,0.19913501250866003,0.07230715957199332
o_desplaza_base,1278.5384615384614,973.3142857142857,585.2319778188539,899.0430592880172,0.2985953575753777,0.03198735902963589,2.517411217133322,1.4488872752116024,0.16591798835791444,0.029474797372128294,0.2482582112896346,0.13758670671722475,0.2666079985457418
