covariable,media_tratados_antes,media_tratados_despues,media_controles_antes,media_controles_despues,dif_estandarizada_antes,dif_estandarizada_despues,razon_varianzas_antes,razon_varianzas_despues,ecdf_media_antes,ecdf_media_despues,ecdf_max_antes,ecdf_max_despues,mejora_abs
distance,0.2788035576481595,0.24451729703462727,0.049046884489463746,0.24520696732475067,0.9703707665729331,-0.002912802831399688,7.613863076145504,0.970845380809877,0.36955641897361174,0.004718076644902751,0.6211078732934002,0.044776119402985086,0.9674579637415334
log_defor_pre_media,5.212435893560519,5.205746133962875,3.814526303510813,5.064003009464587,0.908920426514442,0.0921613401120545,0.9838414650815198,1.4718290976085744,0.24104086345802925,0.022260308032921214,0.3610301656683395,0.10797307562822098,0.8167590864023876
defor_pre_tendencia,0.37269847718252475,0.32354763639544437,0.13950428853669572,0.25932554013584763,0.3973243203453089,0.10942382782209906,0.7804962250595678,0.8956976742478121,0.09462098398462199,0.03319444830013065,0.17988775565269005,0.12155706729766085,0.2879004925232098
log_baseline_forest,11.627701459811082,11.56221547219963,9.634199139058223,11.597068030123943,1.2808436003123997,-0.022393089442210117,1.1229128303918146,1.1289524587337607,0.33776244416290346,0.017650009719001165,0.5615455183206518,0.07705364720867701,1.2584505108701896
temp_media_c_base,22.277093954410457,22.19783499118256,19.456674480384322,22.337610076595894,0.6374572739904022,-0.03159127418453414,0.7752007072519785,1.4812016385873699,0.1598331554629267,0.049614299062354136,0.38057849009767414,0.15175321977362727,0.6058659998058681
prec_anual_mm_base,3564.785120107025,3334.3365805450644,1842.2558397654582,3345.296957098832,0.8451518899873627,-0.005377663570138614,4.289104093991067,1.212848237417997,0.28877787874367433,0.024619304368552548,0.49055636500998323,0.14170038583355882,0.8397742264172241
altura_base,522.112676056338,546.5970149253732,1173.360153256705,549.7936826719748,-0.8501652782642055,-0.004173061730681599,0.7001192460683544,1.3509871236612052,0.2397910820409329,0.05507041063518753,0.448761534725595,0.16162200680662372,0.845992216533524
discapital_base,110.081482971831,110.07730531343283,79.48199656618775,115.05706984185738,0.3992585332964708,-0.06497538734551789,1.6992093613009813,0.793098937390425,0.15090407332371789,0.020325694645190094,0.269534833522206,0.05810554568680734,0.33428314595095293
disbogota_base,384.95746047887326,387.547890358209,317.19269693965515,415.8537764588122,0.4233991599757313,-0.17685723038682383,0.6647024914453477,0.6977868340042356,0.12914033025449215,0.0369899991037605,0.2740138146888997,0.09677176871819314,0.24654192958890747
distancia_mercado_base,145.54692801408453,149.5053222238806,63.03616514386974,172.92777397112962,0.5163071081586497,-0.14656485901881197,2.8688899314535297,0.5747533087504068,0.1972263664961528,0.0463533574184864,0.37912147212778585,0.10978599619680894,0.36974224913983766
H_coca_base,319.43394366197185,334.85805970149255,101.59577586206898,180.4797303048072,0.2217911589762141,0.15717974927678333,1.7646244568370244,2.838633882655974,0.13248909424237248,0.048245092994151875,0.2509713453132588,0.10492602885669308,0.06461140969943077
homicidios_base,52.87323943661972,51.92537313432836,17.955938697318008,49.68900188175405,0.14840853616425795,0.009505218813801656,6.79118356348291,0.8041340913184344,0.06193879099072125,0.0401652446227361,0.15113863256165339,0.12181218028332441,0.1389033173504563
o_desplaza_base,1340.0845070422536,1184.313432835821,559.1149425287356,1119.6632797900702,0.35394192706744887,0.02929998913398432,2.356113262940316,0.8752094633724117,0.20751525559684855,0.03833126283205856,0.3195591171550375,0.10377926013371541,0.3246419379334646
