estimador,estadistico,valor,se,ic_inf,ic_sup
SA,post,-324.9030101114265,202.73481594729694,-759.4038111618158,57.70158142356662
SA,pre,-427.7098129778838,308.0273379968506,-1050.6065243427797,123.62692216178735
SA,post_menos_pre,102.8068028664573,189.76388129313955,-254.1608932808748,445.28378067648043
WNY,post,211.01718012607844,163.84182423670183,-98.84185626308653,544.9106081751262
