especificacion,n_excluidos,att_simple,ee_simple,att_bal,ee_bal,na_pct,ic_bal_inf,ic_bal_sup
sin Cartagena del Chaira,1,-280.6231146760262,215.776883631038,-265.3519392824623,240.71419325851775,0,-737.151758069157,206.4478795042325
"sin los 3 mas influyentes: MUTATÁ, CARTAGENA DEL CHAIRÁ, CUMARIBO",3,-16.11560560484674,208.02939991452251,-7.156501671607585,234.32138115138017,14.285714285714285,-466.4264087283127,452.1134053850975
