COD_DANE,peso_psm,subclase
05001,2.8317460317460315,15
05002,0.20226757369614512,20
05004,0.3640816326530612,1
05021,0.20226757369614512,20
05030,0.10938074800735745,30
05031,2.8317460317460315,15
05034,0.3640816326530612,1
05036,0.10938074800735745,30
05038,0.3640816326530612,1
05040,1.2742857142857142,14
05042,0.20226757369614512,20
05044,0.10938074800735745,30
05045,0.3640816326530612,1
05051,0.48086253369272236,34
05055,0.20226757369614512,20
05059,0.2863563402889246,29
05079,0.20226757369614512,20
05086,0.10938074800735745,30
05088,0.10938074800735745,30
05091,0.48086253369272236,34
05093,0.1554006968641115,2
05101,0.48086253369272236,34
05107,0.3640816326530612,1
05113,0.10938074800735745,30
05120,1.2742857142857142,14
05125,0.20226757369614512,20
05129,0.1554006968641115,2
05134,1,1
05138,0.3640816326530612,1
05142,0.20226757369614512,20
05145,0.10938074800735745,30
05147,0.3640816326530612,1
05148,0.48086253369272236,34
05150,0.20226757369614512,20
05154,0.7495798319327731,23
05172,0.7495798319327731,23
05190,0.10938074800735745,30
05197,0.48086253369272236,34
05206,0.20226757369614512,20
05209,0.10938074800735745,30
05212,0.10938074800735745,30
05234,1.2742857142857142,14
05237,0.20226757369614512,20
05240,0.1554006968641115,2
05250,1.2742857142857142,16
05264,0.10938074800735745,30
05266,0.1554006968641115,2
05282,0.10938074800735745,30
05284,1.2742857142857142,16
05306,0.10938074800735745,30
05308,0.10938074800735745,30
05310,0.3640816326530612,1
05313,0.10938074800735745,30
05315,0.20226757369614512,20
05318,0.10938074800735745,30
05321,0.1554006968641115,2
05347,0.10938074800735745,30
05353,0.10938074800735745,30
05361,1.2742857142857142,14
05364,0.20226757369614512,20
05368,0.10938074800735745,30
05376,0.1554006968641115,2
05390,0.2863563402889246,29
05400,0.1554006968641115,2
05411,0.10938074800735745,30
05425,1.1584415584415584,19
05440,0.1554006968641115,2
05467,0.10938074800735745,30
05475,6.371428571428571,22
05480,1,12
05483,0.20226757369614512,20
05490,0.7495798319327731,23
05495,4.247619047619048,17
05501,0.2863563402889246,29
05541,0.1554006968641115,2
05543,0.10938074800735745,30
05576,0.10938074800735745,30
05579,0.3640816326530612,1
05585,0.48086253369272236,34
05591,0.10938074800735745,30
05604,1.2742857142857142,16
05607,0.20226757369614512,20
05615,0.1554006968641115,2
05628,0.20226757369614512,20
05642,1.1584415584415584,19
05647,0.20226757369614512,20
05649,0.3640816326530612,1
05652,0.3640816326530612,1
05656,0.10938074800735745,30
05658,0.10938074800735745,30
05659,0.20226757369614512,20
05660,0.7495798319327731,23
05664,0.10938074800735745,30
05665,0.20226757369614512,20
05667,0.3640816326530612,1
05670,0.3640816326530612,1
05674,0.10938074800735745,30
05679,0.10938074800735745,30
05686,0.3640816326530612,1
05690,0.48086253369272236,34
05697,0.10938074800735745,30
05736,1.2742857142857142,14
05756,0.48086253369272236,34
05761,0.10938074800735745,30
05789,0.10938074800735745,30
05790,1.2742857142857142,16
05792,0.10938074800735745,30
05809,0.10938074800735745,30
05819,0.1554006968641115,2
05837,1.2742857142857142,16
05842,0.48086253369272236,34
05847,1.2742857142857142,16
05854,2.8317460317460315,15
05856,0.1554006968641115,2
05858,0.3640816326530612,1
05861,0.10938074800735745,30
05873,5.097142857142857,11
05885,0.48086253369272236,34
05887,2.8317460317460315,15
05890,0.7495798319327731,23
05893,1,23
05895,1.2742857142857142,14
08001,1,29
08078,0.1554006968641115,2
08296,0.10938074800735745,30
08372,0.10938074800735745,30
08421,0.10938074800735745,30
08433,0.2863563402889246,29
08436,0.2863563402889246,29
08549,0.1554006968641115,2
08573,0.2863563402889246,29
08606,0.10938074800735745,30
08638,0.20226757369614512,20
08832,0.1554006968641115,2
08849,0.2863563402889246,29
11001,0.48086253369272236,34
