COD_DANE,NOMBRE_MPI,DPTO_CNMBR,tratado,ps,fuera_soporte,ps_extremo
13074,BARRANCO DE LOBA,BOLÍVAR,0,0.027491051774039987,FALSE,FALSE
68245,EL GUACAMAYO,SANTANDER,0,0.027504720321105493,FALSE,FALSE
54670,SAN CALIXTO,NORTE DE SANTANDER,0,0.02751162544286951,FALSE,FALSE
68502,ONZAGA,SANTANDER,0,0.02753290391990871,FALSE,FALSE
52110,BUESACO,NARIÑO,0,0.027577865090415567,FALSE,FALSE
15106,BRICEÑO,BOYACÁ,0,0.02762864851560486,FALSE,FALSE
41016,AIPE,HUILA,0,0.027717602938345912,FALSE,FALSE
20011,AGUACHICA,CESAR,0,0.027755054934247445,FALSE,FALSE
70508,OVEJAS,SUCRE,0,0.02791164035828138,FALSE,FALSE
47555,PLATO,MAGDALENA,0,0.027924493907549804,FALSE,FALSE
19743,SILVIA,CAUCA,0,0.028021263435252283,FALSE,FALSE
23570,PUEBLO NUEVO,CÓRDOBA,0,0.028098925346334996,FALSE,FALSE
05376,LA CEJA,ANTIOQUIA,0,0.02831461610201304,FALSE,FALSE
13030,ALTOS DEL ROSARIO,BOLÍVAR,0,0.0284366046502786,FALSE,FALSE
41770,SUAZA,HUILA,0,0.028446408083290808,FALSE,FALSE
81220,CRAVO NORTE,ARAUCA,0,0.028568459351300535,FALSE,FALSE
47318,GUAMAL,MAGDALENA,0,0.02875060199781315,FALSE,FALSE
41306,GIGANTE,HUILA,0,0.028893358715462177,FALSE,FALSE
41359,ISNOS,HUILA,0,0.02890273036425324,FALSE,FALSE
17433,MANZANARES,CALDAS,0,0.028917284529613323,FALSE,FALSE
68207,CONCEPCIÓN,SANTANDER,0,0.02897066554709793,FALSE,FALSE
41801,TERUEL,HUILA,0,0.02897938036999466,FALSE,FALSE
08638,SABANALARGA,ATLÁNTICO,0,0.02898479541299312,FALSE,FALSE
20550,PELAYA,CESAR,0,0.028986004305156614,FALSE,FALSE
05659,SAN JUAN DE URABÁ,ANTIOQUIA,0,0.029365333417616612,FALSE,FALSE
73226,CUNDAY,TOLIMA,0,0.02950825038914516,FALSE,FALSE
05541,PEÑOL,ANTIOQUIA,0,0.029951097766835282,FALSE,FALSE
25293,GACHALÁ,CUNDINAMARCA,0,0.030133683517760513,FALSE,FALSE
25572,PUERTO SALGAR,CUNDINAMARCA,0,0.030206098796482714,FALSE,FALSE
44279,FONSECA,LA GUAJIRA,0,0.03021049626546265,FALSE,FALSE
15531,PAUNA,BOYACÁ,0,0.030282205675188984,FALSE,FALSE
13268,EL PEÑÓN,BOLÍVAR,0,0.030513556963008944,FALSE,FALSE
19693,SAN SEBASTIÁN,CAUCA,0,0.030569073193001742,FALSE,FALSE
17444,MARQUETALIA,CALDAS,0,0.030831032480563174,FALSE,FALSE
68780,SURATÁ,SANTANDER,0,0.030846464576434463,FALSE,FALSE
15580,QUÍPAMA,BOYACÁ,0,0.03095856506049337,FALSE,FALSE
44430,MAICAO,LA GUAJIRA,0,0.031238338328147992,FALSE,FALSE
50313,GRANADA,META,0,0.03123866364808738,FALSE,FALSE
86760,SANTIAGO,PUTUMAYO,0,0.031607542872267955,FALSE,FALSE
47170,CHIVOLO,MAGDALENA,0,0.03161340951551305,FALSE,FALSE
20787,TAMALAMEQUE,CESAR,0,0.03166818750762863,FALSE,FALSE
15180,CHISCAS,BOYACÁ,0,0.03189119710602336,FALSE,FALSE
17873,VILLAMARÍA,CALDAS,0,0.03225619318693991,FALSE,FALSE
19212,CORINTO,CAUCA,0,0.032657610267193,FALSE,FALSE
15135,CAMPOHERMOSO,BOYACÁ,0,0.03333070522226257,FALSE,FALSE
25658,SAN FRANCISCO,CUNDINAMARCA,0,0.03335005755757768,FALSE,FALSE
05400,LA UNIÓN,ANTIOQUIA,0,0.033462567040372516,FALSE,FALSE
68307,GIRÓN,SANTANDER,0,0.03352275019809819,FALSE,FALSE
73624,ROVIRA,TOLIMA,0,0.03374899122743645,FALSE,FALSE
05129,CALDAS,ANTIOQUIA,0,0.033868367618880964,FALSE,FALSE
52385,LA LLANADA,NARIÑO,0,0.03394135058526778,FALSE,FALSE
85279,RECETOR,CASANARE,0,0.03424620028455812,FALSE,FALSE
52227,CUMBAL,NARIÑO,0,0.034520767232536574,FALSE,FALSE
50245,EL CALVARIO,META,0,0.0345530569516943,FALSE,FALSE
47605,REMOLINO,MAGDALENA,0,0.03479818512841312,FALSE,FALSE
54660,SALAZAR,NORTE DE SANTANDER,0,0.03483586390490925,FALSE,FALSE
20770,SAN MARTÍN,CESAR,0,0.03495650989316789,FALSE,FALSE
76616,RIOFRÍO,VALLE DEL CAUCA,0,0.0351333821902404,FALSE,FALSE
19760,SOTARÁ PAISPAMBA,CAUCA,0,0.03516759432781208,FALSE,FALSE
15755,SOCOTÁ,BOYACÁ,0,0.03547459838568674,FALSE,FALSE
73504,ORTEGA,TOLIMA,0,0.035677916618167105,FALSE,FALSE
68211,CONTRATACIÓN,SANTANDER,0,0.03570012522952466,FALSE,FALSE
50287,FUENTE DE ORO,META,0,0.035826675833285124,FALSE,FALSE
19137,CALDONO,CAUCA,0,0.035906548541810045,FALSE,FALSE
05628,SABANALARGA,ANTIOQUIA,0,0.03596543339261953,FALSE,FALSE
54498,OCAÑA,NORTE DE SANTANDER,0,0.036122118768705594,FALSE,FALSE
85136,LA SALINA,CASANARE,0,0.03640916718444811,FALSE,FALSE
50606,RESTREPO,META,0,0.03643448761138077,FALSE,FALSE
20443,MANAURE BALCÓN DEL CESAR,CESAR,0,0.03657597267209566,FALSE,FALSE
41298,GARZÓN,HUILA,0,0.03669786565343622,FALSE,FALSE
54051,ARBOLEDAS,NORTE DE SANTANDER,0,0.036910392638024696,FALSE,FALSE
76111,GUADALAJARA DE BUGA,VALLE DEL CAUCA,0,0.03717520010064647,FALSE,FALSE
41020,ALGECIRAS,HUILA,0,0.037347249775865794,FALSE,FALSE
70265,GUARANDA,SUCRE,0,0.037425808165368286,FALSE,FALSE
