COD_DANE,peso_psm,subclase
05001,1.2846497764530551,4
05002,0.1570127504553734,41
05004,0.1570127504553734,41
05021,0.34466213514594163,39
05030,0.12617096018735363,7
05031,2.355191256830601,43
05034,1,1
05036,0.12617096018735363,7
05038,0.5046838407494145,1
05040,7.065573770491803,20
05042,0.1358764186633039,40
05044,0.1358764186633039,40
05045,14.131147540983607,30
05051,0.4415983606557377,28
05055,0.4415983606557377,28
05059,0.12617096018735363,7
05079,1,11
05086,0.1358764186633039,40
05088,0.1358764186633039,40
05091,0.5046838407494145,11
05093,0.1358764186633039,40
05101,0.5046838407494145,11
05107,14.131147540983607,34
05113,0.1358764186633039,40
05120,1,20
05125,0.17445861161708154,53
05129,0.1570127504553734,41
05134,1,30
05138,1.1775956284153004,29
05142,0.5046838407494145,1
05145,0.12617096018735363,7
05147,0.7065573770491803,52
05148,0.4415983606557377,28
05150,0.34466213514594163,39
05154,0.8831967213114754,32
05172,2.018735362997658,5
05190,0.17445861161708154,53
05197,0.5046838407494145,1
05206,0.5046838407494145,11
05209,0.1358764186633039,40
05212,0.12617096018735363,7
05234,7.065573770491803,26
05237,0.34466213514594163,39
05240,0.1358764186633039,40
05250,2.355191256830601,43
05264,0.1358764186633039,40
05266,0.17445861161708154,53
05282,0.17445861161708154,53
05284,0.8831967213114754,32
05306,0.12617096018735363,7
05308,0.12617096018735363,7
05310,0.7065573770491803,52
05313,0.4415983606557377,28
05315,0.4415983606557377,28
05318,0.12617096018735363,7
05321,0.17445861161708154,53
05347,0.12617096018735363,7
05353,0.12617096018735363,7
05361,2.355191256830601,43
05364,1,41
05368,0.1358764186633039,40
05376,0.17445861161708154,53
05380,0.3140255009107468,6
05400,0.1570127504553734,41
05411,0.17445861161708154,53
05425,0.7065573770491803,52
05440,0.17445861161708154,53
05467,0.12617096018735363,7
05475,3.5327868852459017,19
05480,1,49
05483,0.1570127504553734,41
05490,0.8831967213114754,32
05495,3.5327868852459017,33
05501,0.28262295081967215,13
05541,0.1570127504553734,41
05543,0.34466213514594163,39
05576,0.3140255009107468,6
05579,1,51
05585,0.8831967213114754,35
05591,0.4415983606557377,28
05604,3.5327868852459017,3
05607,0.5046838407494145,11
05615,0.17445861161708154,53
05628,0.1570127504553734,41
05642,0.1570127504553734,41
05647,0.5046838407494145,1
05649,1.570127504553734,51
05652,0.8831967213114754,32
05656,0.12617096018735363,7
05658,0.12617096018735363,7
05659,0.1570127504553734,41
05660,3.5327868852459017,36
05664,0.12617096018735363,7
05665,0.34466213514594163,39
05667,0.7065573770491803,52
05670,1,52
05674,0.17445861161708154,53
05679,1,53
05686,1.1775956284153004,29
05690,0.5046838407494145,1
05697,0.1358764186633039,40
05736,3.5327868852459017,36
05756,1,2
05761,0.12617096018735363,7
05789,0.17445861161708154,53
05790,3.5327868852459017,33
05792,0.12617096018735363,7
05809,0.1358764186633039,40
05819,0.17445861161708154,53
05837,1,3
05842,0.4415983606557377,28
05847,0.8831967213114754,32
05854,2.018735362997658,5
05856,0.30066271363794905,12
05858,1,4
05861,0.17445861161708154,53
05873,4.710382513661202,42
05885,0.8831967213114754,35
05887,2.355191256830601,47
05890,1.0870113493064313,2
05893,1,5
05895,3.5327868852459017,19
08001,1,6
08078,0.12617096018735363,7
08141,0.3140255009107468,6
08296,0.12617096018735363,7
08372,0.12617096018735363,7
08421,0.3140255009107468,6
08436,0.3140255009107468,6
08549,0.30066271363794905,12
08573,0.3140255009107468,6
08606,0.12617096018735363,7
08638,0.1570127504553734,41
08832,0.1358764186633039,40
08849,0.28262295081967215,13
11001,0.34466213514594163,39
13001,0.1358764186633039,40
13006,2.355191256830601,47
13030,0.1570127504553734,41
13042,0.5046838407494145,1
13052,0.1570127504553734,41
13062,0.12617096018735363,7
13074,0.1570127504553734,41
13140,0.1358764186633039,40
