enfoque,especificacion,coef,ee,ic_inf,ic_sup,coef_balanceado,ee_balanceado,na_pct
A. DiD espacial,Sin covariables,-13.408105751034809,137.14968666040713,-282.22149160543273,255.40528010336314,-71.09698163741699,161.1614085619887,0
A. DiD espacial,Doblemente robusto con covariables,-59.21313706285129,82.33717917626888,-220.5940082483383,102.16773412263571,-156.47287998430724,81.90155219899077,13.043478260869565
B. TWFE (contraste),prop_vecinos_tratados,385.8931133613854,215.16028436517487,-35.82104399435735,807.6072707171281,NA,NA,NA
