anticipacion,base,att_simple,ee_simple,att_bal,ee_bal,na_pct,ic_bal_inf,ic_bal_sup,cambio_vs_a0_pct
0,g-1,-424.9907881183364,263.82073883118005,-464.89237963582605,287.9376101704443,0,-1029.250095569897,99.46533629824478,0
1,g-2,-114.43478723044092,168.467958950713,-184.57710891198226,239.97611085143075,0,-654.9302861807865,285.77606835682195,-60.296809111697854
2,g-3,-262.9797529493569,253.24238078519784,-283.76783660762925,326.4007035266229,0,-923.51321551981,355.9775423045516,-38.96053171920798
