project_id,name_offsetsdb,proponent_offsetsdb,project_url,matched_cod_dane,matched_municipio,n_matches
VCS5908,Electric Mobility Program Colombia,Grutter Consulting AG,https://registry.verra.org/app/projectDetail/VCS/5908,,,0
VCS5901,"PROJECT URAMIA – COMMUNITY-LED FOREST CONSERVATION REDD+ PROJECT IN CHOCÓ, COLOMBIA",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/5901,,,0
VCS5756,El Estero biogas recovery and utilization,EXTRACTORA EL ESTERO S.A.S.,https://registry.verra.org/app/projectDetail/VCS/5756,,,0
VCS5680,CO2ROZO,FUNDACIÓN CATARUBEN,https://registry.verra.org/app/projectDetail/VCS/5680,,,0
VCS5632,Green and Carbon Capture project,Scellec Teca Colombia SAS,https://registry.verra.org/app/projectDetail/VCS/5632,,,0
VCS5335,Boomitra grassland Restoration in Colombia,Boomitra Inc,https://registry.verra.org/app/projectDetail/VCS/5335,,,0
VCS5324,Sembrando Futuro Restoration Project,Fundación Grupo Argos,https://registry.verra.org/app/projectDetail/VCS/5324,,,0
VCS5305,Bella Bosque Vichada Afforestation Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/5305,,,0
VCS5169,Sembrando Futuro 2.0,Terraformation Inc.,https://registry.verra.org/app/projectDetail/VCS/5169,,,0
VCS4894,"MÜSESI project for active restoration in areas of the Sierra Nevada Santa Marta, Colombia",ALLCOT A.G.,https://registry.verra.org/app/projectDetail/VCS/4894,,,0
VCS4777,NATURAL SILVOPASTORAL SYSTEMS IN THE COLOMBIAN ORINOQUIA REGION,Agropecuaria Bambusa SAS,https://registry.verra.org/app/projectDetail/VCS/4777,,,0
VCS4748,RESTORED PRODUCTIVE LANDSCAPES IN THE MAGDALENA RIVER MIDDLE BASIN IN COLOMBIA,FUNDACIÓN PROYECTO PRIMATES - FPP,https://registry.verra.org/app/projectDetail/VCS/4748,,,0
VCS4732,"NatureRe assisted natural regeneration project in degraded lands in Antioquia, Colombia",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/4732,,,0
VCS4536,REDD+ Esteros y Manglares,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/4536,,,0
VCS4480,REDD++ Manglares del Bajo Baudo,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/4480,,,0
VCS4419,Project MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI CONSERVACION ANCESTRAL,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/4419,,,0
VCS3970,Carbon In Flavor and Arome Forests (C-BOSAR),Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3970,,,0
VCS3927,CARBONO VIVO- A REGENERATIVE LIVESTOCK CARBON PROJECT WITH A PARTICIPATORY APPROACH IN COLOMBIA,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3927,,,0
VCS3849,THE FOREST CARBON PROJECT AGROREFORESTADORA RANCHO VICTORIA S. A,AGROREFORESTADORA RANCHO VICTORIA S.A,https://registry.verra.org/app/projectDetail/VCS/3849,,,0
VCS3690,PROJECT MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3690,,,0
VCS3646,Kúvay Macärö Vidi REDD+ Carurú -KUMAVI REDD+,"RESGUARDO INDÍGENA ARARÁ, BACATÍ, CARURÚ Y LAGOS DE JAMAICURÚ",https://registry.verra.org/app/projectDetail/VCS/3646,,,0
VCS3594,Finca la Paz II,Col La Paz SAS,https://registry.verra.org/app/projectDetail/VCS/3594,,,0
VCS3564,REDD+ Project for the Conservation of Lowland Forest in the  Magdalena Medio Region of Colombia,Fundación Biodiversa Colombia (FBC),https://registry.verra.org/app/projectDetail/VCS/3564,,,0
VCS3475,ACABA REDD+ Project,"Consejo Comunitario General Del Río Baudo y sus Afluentes, ACABA",https://registry.verra.org/app/projectDetail/VCS/3475,,,0
VCS3450,"Sustainable Agroforestry Cacao Meta, Colombia",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3450,,,0
VCS3210,Bajo Atrato REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3210,,,0
VCS3215,ASATIQ Vaupés Maloca REDD+ Project,Association of Traditional Indigenous Authorities of Querarí (ASATIQ),https://registry.verra.org/app/projectDetail/VCS/3215,,,0
VCS3216,ASATRIZY Vaupés Maloca REDD+ Project,Association of Traditional Indigenous Authorities of the Yapú Zone (ASATRIZY),https://registry.verra.org/app/projectDetail/VCS/3216,,,0
VCS3217,REDD+ Project in the Alto Predio Putumayo Indigenous Reservation in Colombia,"Asociación de Autoridades Tradicionales y Cabildos De Los Pueblos Indígenas Murui, Muinane, Coreguaje y Nasa Del Municipio De Leguizamo y Puerto Asis, Alto Resguardo Predio Putumayo - ACILAPP",https://registry.verra.org/app/projectDetail/VCS/3217,,,0
VCS3218,Origen Atrato-Baudó REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3218,,,0
VCS3145,Proyecto REDD++ PANI,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3145,,,0
VCS2872,CRIMA PREDIO PUTUMAYO Y ANDOQUE DE ADUCHE REDD+  PROJECT,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2872,,,0
VCS2750,Saving Colombia's Cloud Forest,"Saving Nature, Inc.",https://registry.verra.org/app/projectDetail/VCS/2750,,,0
VCS2723,CONDOTO REDD+,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2723,,,0
