Project ID,Project Name,Project Stage,Project URL,Duration start,Duration end,n_matches,cod_dane,municipio
CDC-253,Soluciones Energéticas Promigas,Certified,https://www.ecoregistry.io/projects/254,2020-09-15,2050-09-14,0,,
CDC-147,Proyecto Solar Fotovoltaico Greenyellow,Verification,https://www.ecoregistry.io/projects/147,2024-01-02,2054-02-28,0,,
CDC-49,Carbono Reforestadora El Guásimo,Certified,https://www.ecoregistry.io/projects/49,2007-10-31,2026-12-31,3,15131;5001;5129,CALDAS;MEDELLIN
CDC-49,Carbono Reforestadora El Guásimo,Certified,https://www.ecoregistry.io/projects/49,2007-10-31,2026-12-31,3,15131;5001;5129,CALDAS;MEDELLIN
CDC-49,Carbono Reforestadora El Guásimo,Certified,https://www.ecoregistry.io/projects/49,2007-10-31,2026-12-31,3,15131;5001;5129,CALDAS;MEDELLIN
CDC-95,APROVECHAMIENTO Y RECUPERACIÓN DE GAS MEDIANTE LA INSTALACIÓN DE UNA PLANTA PARA LA GENERACIÓN DE ENERGÍA ELÉCTRICA - TERMOMECHERO,Certified,https://www.ecoregistry.io/projects/95,2018-02-02,2048-02-01,0,,
CDC-95,APROVECHAMIENTO Y RECUPERACIÓN DE GAS MEDIANTE LA INSTALACIÓN DE UNA PLANTA PARA LA GENERACIÓN DE ENERGÍA ELÉCTRICA - TERMOMECHERO,Certified,https://www.ecoregistry.io/projects/95,2018-02-02,2048-02-01,0,,
CDC-88,Proyecto Hidroeléctrico Alejandría,Certified,https://www.ecoregistry.io/projects/88,2016-10-05,2036-10-04,1,5021,ALEJANDRIA
CDC-88,Proyecto Hidroeléctrico Alejandría,Certified,https://www.ecoregistry.io/projects/88,2016-10-05,2036-10-04,1,5021,ALEJANDRIA
CDC-88,Proyecto Hidroeléctrico Alejandría,Certified,https://www.ecoregistry.io/projects/88,2016-10-05,2036-10-04,1,5021,ALEJANDRIA
CDC-76,PRR-GEI ENTREPALMAS S.A.S,Certified,https://www.ecoregistry.io/projects/76,2017-05-25,2047-05-24,0,,
CDC-76,PRR-GEI ENTREPALMAS S.A.S,Certified,https://www.ecoregistry.io/projects/76,2017-05-25,2047-05-24,0,,
CDC-76,PRR-GEI ENTREPALMAS S.A.S,Certified,https://www.ecoregistry.io/projects/76,2017-05-25,2047-05-24,0,,
CDC-76,PRR-GEI ENTREPALMAS S.A.S,Certified,https://www.ecoregistry.io/projects/76,2017-05-25,2047-05-24,0,,
