_id,nombre_iniciativa,tipo,fase,n_matches,cod_dane,municipio
6a7e79ab956159ac50315e7d,Proyecto de Desarrollo Bajo en Carbono - Granja Solar El Cinco,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
6a7cdbba2ae62d26b5e216ec,Sembrando Futuro 2.0,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
6a728e472ae62d26b5e21563,"MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS
CABILLARI CONSERVACIÓN ANCESTRAL",Proyecto REDD+,Factibilidad,0,,
6a6365cec4dc4aa74a6f1b69,Rehabilitación del Corredor Férreo La Dorada - Chiriguaná,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
6a0ce0526ba4657064ecab7a,Diseño y desarrollo de sistemas de tratamientos de aguas residuales domésticas e industriales a través de biomasas adsorbentes. ,MDL - Proyectos del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
69fa2c1f6ba4657064ecaa76,"PROYECTO URAMIA - Proyecto REDD+ de Conservación Forestal Liderado por la Comunidad en Chocó, Colombia",Proyecto REDD+,Factibilidad,0,,
6995c4dbdc90ca1cbe64d7fc,Proyecto Forestal CO2CERO Chigüiro,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
6973d618dc90ca1cbe64d460,Proyecto Forestal CO2CERO Alcaraván Orinoquia,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
697385e5dc90ca1cbe64d435,Proyecto REDD Mapiripan,Proyecto REDD+,Factibilidad,0,,
695d37c9dc90ca1cbe64d1fa,Proyecto CO2CERO COL LA GLORIA - Alouatta Carbon Forest,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
6925ca9e78306d8ed3ce75e6,Proyecto REDD+ Bogotá Región ,Proyecto REDD+,Factibilidad,0,,
691726b38903bc9c31018518,MDL PoA Mundo verde,MDL PoA - Programas de Actividades del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
69133b64471be180c8ed9831,hkjhkh,MDL - Proyectos del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
690caa31471be180c8ed9765,"Proyecto de Captura de Carbono, y Conservación Hídrica del Bosque Altoandino-Húmedo en la Finca La Giovanna, Pamplona (Norte de Santander). 
",PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
690c8ec7471be180c8ed973d,Proyecto Hidroeléctrico El Edén,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68ddf2adf7447e0f93dcb125,Prueba,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68d9689ff7447e0f93dcb039,afsdfsa,Proyecto REDD+,Factibilidad,0,,
68d9647bf7447e0f93dcb01e,abclnlkvn,PDBC - Programas de Desarrollo Bajo en Carbono,Factibilidad,0,,
68d952ddf7447e0f93dcafe2,knfknl,MDL PoA - Programas de Actividades del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
68d94d2bf7447e0f93dcafb8,Nombre Iniciativa prueba,MDL - Proyectos del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
68d9465cf7447e0f93dcaf56,nombre prueba,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68d82b7bf7447e0f93dcaf29,Prueba,NAMA - Acciones Nacionalmente Apropiadas de Mitigación,Factibilidad,0,,
68d6a15a350c48834f3de405,EcoAcción MDL,MDL PoA - Programas de Actividades del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
68d4283d2d88c288b51cf71f,EcoAcción MDL,MDL PoA - Programas de Actividades del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
68caf93b2d88c288b51cf254,"Proyecto REDD+ Pacifico Norte-Sur, La Voz de los Negros",Proyecto REDD+,Factibilidad,0,,
68cadc2c2d88c288b51cf19e,Proyecto REDD+ “Futuro Verde”,Proyecto REDD+,Factibilidad,0,,
68ca07b82d88c288b51cf109,Proy REDD+ Respira Futuro: Programa de Actividades para un Aire Limpio,Proyecto REDD+,Factibilidad,0,,
68c9ec082d88c288b51cf0d1,"Proyecto REDD+ Pacifico Norte-Sur, Chanzará y Río Sequihonda",Proyecto REDD+,Factibilidad,0,,
68c9d4fe2d88c288b51cf05c,"Project REDD+ Pacifico Norte-Sur, ACADESAN.",Proyecto REDD+,Factibilidad,0,,
68c99d6f2d88c288b51cefd6,Bosques Vitales: Programa REDD+ para la Conservación y el Clima,Programa REDD+,Factibilidad,0,,
68c991302d88c288b51cef65,Plan VERDE: Valoración de Energías Renovables y Disminución de Emisiones,MDL PoA - Programas de Actividades del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
68b22d0b2cb375c800b83dff,"Proyecto REDD+ Pacifico Norte-Sur, La Voz de los Negros",Proyecto REDD+,Factibilidad,0,,
68b22d062cb375c800b83dfb,Los Titíes de San Juan,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22d052cb375c800b83df8,Proyecto de Generación de Energía Solar Fotovoltaica La Loma ,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22d042cb375c800b83df5,BaumInvest Flor Morado Reforestation Project Veraneo,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cff2cb375c800b83df1,Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio d,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cfa2cb375c800b83ded,prueba_py_pdbc,PDBC - Proyectos de Desarrollo Bajo en Carbono,Cierre,0,,
68b22cf42cb375c800b83de9,Central Hidroeléctrica Menor Amaime,MDL - Proyectos del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
68b22cf42cb375c800b83de6,AgroTrace,PDBC - Programas de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cf22cb375c800b83de0,CARVIDA DURATEX,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cf12cb375c800b83ddd,ACABA REDD+ Project,Proyecto REDD+,Factibilidad,0,,
68b22cf02cb375c800b83dda,BaumInvest Flor Saphira Reforestation Project El Capricho & La Catorce,PDBC - Programas de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cef2cb375c800b83dd7,BaumInvest Flor Morado Reforestation Project Punta Hermosa & Moriche Solo,PDBC - Programas de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cee2cb375c800b83dd4,MARENA ICHENA - NAG+MA ENOYE RAFUE,Proyecto REDD+,Factibilidad,0,,
68b22cee2cb375c800b83dd1,A,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22ced2cb375c800b83dce,ENTREPALMAS S.A.S,MDL - Proyectos del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
68b22cec2cb375c800b83dcb,PROYECTO REDD+ MACROTERRITORIO JAGUARES DE YURUPARÍ,Proyecto REDD+,Factibilidad,0,,
68b22ceb2cb375c800b83dc8,CIM2,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cea2cb375c800b83dc5,Central Hidroeléctrica Escuela de Minas,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22ce92cb375c800b83dc2,Central Hidroeléctrica Carlos Lleras Restrepo,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22ce42cb375c800b83dbe,Central Hidroeléctrica Menor Bajo Tuluá,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cdf2cb375c800b83dba,Carbono Bagatela,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cde2cb375c800b83db7,Proyecto hidroeléctrico Caruquia,PDBC - Programas de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cdd2cb375c800b83db4,Brújula Verde Project,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cdc2cb375c800b83db1,Solario,MDL - Proyectos del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
68b22cdb2cb375c800b83dae,Proyecto Solar Fotovoltaico Greenyellow,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cda2cb375c800b83dab,Agua Fresca Multipurpose and Environmental Services Project,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cd92cb375c800b83da8,Carbono Verde II,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cd82cb375c800b83da5,Proyecto Hidroeléctrico Guanaquitas 9.74 MW,MDL - Proyectos del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
68b22cd72cb375c800b83da2,RUTA ANDINA ,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cd22cb375c800b83d9e,ASATIQ VAUPÉS MALOCA REDD+ PROJECT,Proyecto REDD+,Factibilidad,0,,
68b22cd12cb375c800b83d9b,Planta Solar Fotovoltaica Fundación ,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cd02cb375c800b83d98,CIM 1,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22ccb2cb375c800b83d94,GROUPED PROJECT FOR REDUCING EMISSIONS FROM DEFORESTATION AND FOREST DEGRADATION REDD - IN THE REGIONAL NATURAL PARK: BIOLOGICAL CORRIDOR PNN PURACÉ PNN CUEVA DE LOS GUÁCHAROS,Proyecto REDD+,Factibilidad,0,,
68b22cc62cb375c800b83d90,CARBONO LA TABACA - AGI,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cc52cb375c800b83d8d,Proyecto hidroeléctrico Popal 20 MW,PDBC - Programas de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cc42cb375c800b83d8a,Proyecto Hidroeléctrico San Miguel 42 MW,PDBC - Programas de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cc32cb375c800b83d87,Proyecto hidroeléctrico a filo de agua Río Amoyá,PDBC - Programas de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cbe2cb375c800b83d83,PROYECTO CARBONO  EN GANADERIA REGENERATIVA EN COLOMBIA VCS ID 3927 VERRA,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cbd2cb375c800b83d80,"Proyecto REDD+ Pacifico Norte-Sur,  Chanzará y Río Sequihonda",Proyecto REDD+,Factibilidad,0,,
68b22cbc2cb375c800b83d7d,Captura de CO2 a partir de biorreactores con microalgas chlorella vulgaris,PDBC - Programas de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cbb2cb375c800b83d7a,Primer Proyecto Agrupado de Helios S.A. E.S.P para la energización de hogares en Zonas No Interconectadas en Colombia,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
