ADM2_NAME,ADM2_CODE,year,temp_media_c,prec_anual_mm
Abejorral,13341,2001.0,17.66006755500187,2241.250587084915
Abriaqui,13342,2001.0,13.870270907823357,2396.1224636869365
Alejandria,13343,2001.0,17.95942108178094,3355.694680572633
Amaga,13344,2001.0,18.146481984549563,2112.432022526164
Amalfi,13345,2001.0,20.574049631034427,3232.440277965112
Andes,13346,2001.0,15.702401659676411,2630.676535975243
Angelopolis,13347,2001.0,17.747182689029433,1949.7160909957177
Angostura,13348,2001.0,15.907874944239339,2671.027003610419
Anori,13349,2001.0,21.005473899540252,4072.1834594678
Antioquia,13350,2001.0,18.974573716688578,1686.7211007263327
Anza,13351,2001.0,19.245327862810957,1680.4020380155257
Apartado,13352,2001.0,24.462035007086662,2600.3053142050153
Arboletes,13353,2001.0,25.67681095007566,1529.6110514085588
Argelia,13354,2001.0,19.712463388770068,3445.9177327312564
Armenia,13355,2001.0,20.108899394079376,1943.2511843971404
Barbosa,13356,2001.0,16.161690378692796,2402.2371968528328
Bello,13357,2001.0,15.3930109085733,1495.4914466040611
Belmira,13358,2001.0,14.572200167327816,1481.4004062415559
Betania,13359,2001.0,16.091577025966057,3154.876948102724
Betulia,13360,2001.0,18.247671800613848,1928.917337849356
Bolivar,13361,2001.0,17.410181246497544,3066.209169288255
Briceno,13362,2001.0,18.666778954433784,3253.2675292983286
Buritica,13363,2001.0,18.393956433872027,1870.4169433331638
Caceres,13364,2001.0,25.186703330765344,3878.0634605603586
Caicedo,13365,2001.0,15.437481588331545,1762.4028392631524
Caldas,13366,2001.0,16.657714556778906,2051.145582403724
Campamento,13367,2001.0,18.11788321618888,3209.236899845772
Canasgordas,13368,2001.0,17.43176148006571,2169.447414449093
Caracoli,13369,2001.0,24.04067055253941,2999.6675967642204
Caramanta,13370,2001.0,16.476970461414805,2274.761345590297
Carepa,13371,2001.0,24.769131935832835,3029.6347548864846
Carmen De Viboral,13372,2001.0,16.716054539294134,2958.3940853604854
Carolina,13373,2001.0,15.745621298865641,2880.717070882362
Caucasia,13374,2001.0,25.995269342017718,3421.0577232643127
Chigorodo,13375,2001.0,24.539470786185177,3486.54750549362
Cisneros,13376,2001.0,18.864024728455476,3165.234664823431
Cocorna,13377,2001.0,19.224329269150424,3611.792378291351
Concepcion,13378,2001.0,16.411155843343444,2770.3831136865997
Concordia,13379,2001.0,19.910230013215138,2127.392550219331
Copacabana,13380,2001.0,16.115789778309683,1610.0626659354225
Dabeiba,13381,2001.0,19.741164772612237,3164.422432584045
Don Matias,13382,2001.0,16.24894496455394,2498.3039981070315
Ebejico,13383,2001.0,20.202018234196597,1678.3252284784357
El Bagre,13384,2001.0,24.45939513724751,3895.8477834169435
Entrerrios,13385,2001.0,13.931702825616439,1646.2451425554978
Envigado,13386,2001.0,15.534682928311057,1977.8104202465288
Fredonia,13387,2001.0,19.46253106719519,2142.963714741974
Frontino,13388,2001.0,18.952273269042387,3192.2443169035805
Giraldo,13389,2001.0,17.30580733990255,1885.1891061962
Girardota,13390,2001.0,15.91198501587222,1630.9492693591046
Gomez Plata,13391,2001.0,18.510746625963233,3363.3504292730445
Granada,13392,2001.0,18.353193240540133,3427.774890108784
Guadalupe,13393,2001.0,18.229186478734356,2994.685953557317
Guarne,13394,2001.0,16.232464899817757,1597.5795243583077
Guatape,13395,2001.0,16.71700630923645,2921.3308189537674
Heliconia,13396,2001.0,18.605767081845645,1833.4765890335045
Hispania,13397,2001.0,18.532796697530024,2746.59532623291
Itagui,13398,2001.0,15.724020302597987,1766.6049391787903
Ituango,13399,2001.0,18.048287501244683,3199.327826955417
Jardin,13400,2001.0,14.014809922345847,2242.45441589335
Jerico,13401,2001.0,17.856505957737284,2197.512540508412
La Ceja,13402,2001.0,14.831671278947939,2177.7322636183317
La Estrella,13403,2001.0,16.80951646699754,1891.8737552526143
La Union,13404,2001.0,14.399636587107443,2431.030949400853
Liborina,13405,2001.0,17.648593060697525,1642.3246433264721
Maceo,13406,2001.0,22.938538429894358,2706.553145956366
Marinilla,13407,2001.0,15.681470395444796,2145.4149175737725
Medellin,13408,2001.0,16.37851027222394,1673.041290833651
Montebello,13409,2001.0,16.96031539666224,1945.1257843781923
Murindo,13410,2001.0,23.67974498444715,4619.463266892816
Mutata,13411,2001.0,22.276379403094726,4112.901126105564
Narino,13412,2001.0,18.03057843131248,2929.2268397977496
Nechi,13413,2001.0,26.12459500620975,3496.960914836995
Necocli,13414,2001.0,25.889880960637004,2055.8595214505985
Necocli (is.),13415,2001.0,,3187.51478433609
Olaya,13416,2001.0,21.477782771525774,1538.1319987741285
Penol,13417,2001.0,16.225783948670983,2465.616602191172
Peque,13418,2001.0,16.783946884038322,2180.8343255020486
Pto Nare (la Magd.),13419,2001.0,25.716244149340962,2935.192535447094
Pueblorrico,13420,2001.0,19.303285694438753,2449.3804718956294
Puerto Berrio,13421,2001.0,26.219031509238363,2774.6397427869097
Puerto Triunfo,13422,2001.0,26.18827491180687,2667.119500591068
Remedios,13423,2001.0,24.266769781650922,3031.5720366183054
Retiro,13424,2001.0,15.537691528550997,1952.6253657412492
Rionegro,13425,2001.0,15.743040872554763,1926.1136042654682
Sabanalarga,13426,2001.0,18.60841767537002,1926.327390280781
Sabaneta,13427,2001.0,15.464364719921624,1954.5785810627992
Salgar,13428,2001.0,16.948016700686814,2494.8017998053015
San Andres,13429,2001.0,15.252386227820676,2296.9685648661107
San Carlos,13430,2001.0,21.686946770231305,3567.653591382897
San Francisco,13431,2001.0,22.03154509056111,3856.8895984847986
San Jeronimo,13432,2001.0,19.25223830719697,1273.3891799927142
San Jose De La Montana,13433,2001.0,13.996793285444104,1759.4349730464048
San Juan De Uraba,13434,2001.0,25.789593720202816,1657.0842494181377
San Luis,13435,2001.0,22.027154802644908,4102.564235469611
San Pedro,13436,2001.0,15.137486718759604,1425.9856603821584
San Pedro De Uraba,13437,2001.0,25.327844988682166,1417.2701799665906
San Rafael,13438,2001.0,19.896173903811263,3452.178153942803
San Roque,13439,2001.0,20.581250116704705,3131.454304448132
San Vicente,13440,2001.0,15.6931483895906,2051.0155287320863
Santa Barbara,13441,2001.0,20.046909915493128,2121.1072292925674
Santa Rosa De Osos,13442,2001.0,14.587691128090366,2299.1582326678727
Santo Domingo,13443,2001.0,17.791355140186432,3240.3566652201766
Santuario,13444,2001.0,16.309806262636506,2401.387928956504
Segovia,13445,2001.0,23.88993073362326,3685.7818803481086
Sonson,13446,2001.0,20.092240957879064,2932.115346233875
Sopetran,13447,2001.0,20.876159232277764,1438.534103709444
Tamesis,13448,2001.0,16.628794740913555,2297.0337510727095
Taraza,13449,2001.0,22.40415848564987,3997.36426552611
Tarso,13450,2001.0,20.054624606745474,2264.9998422819003
Titiribi,13451,2001.0,20.3152457885058,2113.9224755108407
Toledo,13452,2001.0,19.279949139524877,2167.9278037972717
Turbo,13453,2001.0,25.22491813394243,2749.635770091525
Turbo (is.),13454,2001.0,,3067.7093010544777
Uramita,13455,2001.0,18.18020867202069,2207.0685321518527
Urrao,13456,2001.0,18.067048478881112,3043.7251428537807
Valdivia,13457,2001.0,20.81721562684246,4382.548150018193
Valparaiso,13458,2001.0,18.104978322020273,2421.444942127379
Vegachi,13459,2001.0,21.788026904049314,2616.2237285503284
Venecia,13460,2001.0,19.94805593943858,2261.4192467559697
Vigia Del Fuerte,13461,2001.0,23.35046911527946,5439.766411015561
Yali,13462,2001.0,21.82357250423308,2586.832330656999
Yarumal,13463,2001.0,15.515561381867784,2952.7933207605815
Yolombo,13464,2001.0,20.656842998399792,2873.6451273133725
Yondo,13465,2001.0,26.34259573562702,2953.1546093145284
Zaragoza,13466,2001.0,25.178354219749206,4286.668529789754
Arauca,13467,2001.0,26.182854574803947,1798.2503520351127
Arauquita,13468,2001.0,25.248178279238033,2455.904675525993
Cravo Norte,13469,2001.0,26.153808561844837,1942.8981638722119
Fortul,13470,2001.0,18.33555297790911,2023.378877976533
Puerto Rondon,13471,2001.0,25.8185879323063,1950.945425911588
Saravena,13472,2001.0,22.485084612894703,3114.708564964891
