cohorte,n,dev_tratados,dev_nunca,diferencia
2006,1,-1256.2875000000004,-6.808214634146339,-1249.479285365854
2007,1,16.72200000000001,-2.134132682926829,18.856132682926837
2008,2,-61.094999999999985,65.59257073170731,-126.6875707317073
2009,1,10.362857142857138,14.559579094076653,-4.196721951219516
2010,5,3.863250000000005,27.151397560975607,-23.288147560975602
2011,4,0.4750000000000023,-13.305687804878048,13.780687804878049
2012,3,-172.88099999999997,-10.923919024390242,-161.95708097560973
2013,7,128.98753246753245,21.65319379157428,107.33433867595816
2014,11,-81.29181818181819,-57.1904487804878,-24.101369401330388
2015,7,-227.27472527472526,4.751918949343342,-232.0266442240686
2016,7,-110.36295918367347,-46.43978675958188,-63.92317242409159
2017,12,286.31,77.93247219512195,208.37752780487807
2018,9,2149.231875,196.83425853658537,1952.3976164634146
2019,6,705.8567647058823,117.53678737446198,588.3199773314203
2020,2,-56.317499999999995,46.69428292682927,-103.01178292682926
2021,4,-35.156842105263145,89.52591835686778,-124.68276046213091
2022,8,22.142250000000004,39.52981756097561,-17.387567560975604
2023,3,-2.695714285714286,41.38143554006969,-44.07714982578398
2024,1,65.34818181818181,-11.724114412416855,77.07229623059867
