especificacion,att,se
"CS sin covariables, control completo - alta",-125.46431148092232,83.22120184464899
"CS sin covariables, sin vecinos - alta",-105.69578267961141,83.02341519118671
"CS sin covariables, control completo - todas",-105.8574555221338,70.16448868370787
"CS sin covariables, sin vecinos - todas",-87.92127456265233,69.74345775448492
