especificacion,att,se,t
CS sin covariables (g-1) - alta,-125.46431148092232,83.22120184464899,-1.5076003314050854
Imputación BJS (todo el periodo previo) - alta,24.27835852627571,55.83560622853328,0.43481857126983087
BJS manual (control puntual) - alta,24.278358526389198,NA,NA
TWFE - alta,53.5640247158787,80.92327712207572,0.6619112154229174
CS sin covariables (g-1) - todas,-105.8574555221338,70.16448868370787,-1.5087041537397223
Imputación BJS (todo el periodo previo) - todas,10.51422927139886,48.07506281828474,0.21870443125869207
BJS manual (control puntual) - todas,10.5142292719542,NA,NA
TWFE - todas,39.30345044753771,70.98151314850402,0.553713899636219
