anio,att,se
2016,-0.0013366997531761905,3.0958651428593837e-4
2017,-0.0024217491190217954,5.98801182894132e-4
2018,-6.979418094031509e-4,9.564825573585501e-4
2019,-0.0028771489421814487,0.0011492352799315772
2020,-0.0025800756466193703,6.44275008142973e-4
2021,-0.00171927610647668,7.666822775418251e-4
2022,-0.0034972793171125635,9.398333029347113e-4
2023,-4.687522299504569e-4,0.0017222743813925631
2024,-2.6031222513478816e-4,9.107510545051556e-4
