lb,ub,method,Delta,Mbar
-379.46206920337545,-1.9262033969714594,C-LF,DeltaRM,0
-841.7508844765232,333.2331876760609,C-LF,DeltaRM,0.5
-1384.9402424224718,872.5701388280663,C-LF,DeltaRM,1
-1924.2771935744777,1415.7594967740151,C-LF,DeltaRM,1.5
-1924.2771935744777,1924.2771935744777,C-LF,DeltaRM,2
