project_id,name,proponent,project_url,registry
CCB10,Bonos de Carbono Caracoli,Reforestadora Caracolí S.A.S.,https://www.ecoregistry.io/projects/CDC-10,cercarbono
CCB11,Proyecto Forestal de Mitigación de Cambio Climático en áreas degradadas por ganadería Fincas La Clara y Suebrá,South Pole Carbon Asset Management,https://www.ecoregistry.io/projects/CDC-11,cercarbono
CCB12,Proyecto de Mitigación Forestal Bonanza Verde,South Pole Carbon Asset Management,https://www.ecoregistry.io/projects/CDC-12,cercarbono
CCB13,Reforestación de suelos degradados por la ganadería y la agricultura en Antioquia,South Pole Carbon Asset Management,https://www.ecoregistry.io/projects/CDC-13,cercarbono
CCB14,Recuperación de suelos degradados con el uso de incentivos financieros en el centro y oriente de Colombia,DISTRIPRESS SAS,https://www.ecoregistry.io/projects/CDC-14,cercarbono
CCB15,Bonos Verdes Colombia Grupo Custodiar S.A.,CUSTODIAR SAS,https://www.ecoregistry.io/projects/CDC-15,cercarbono
CCB16,Proyecto hidroeléctrico Porce III,EPM,https://www.ecoregistry.io/projects/CDC-16,cercarbono
CCB17,CARBONO GRESCO2,PRO ORIENTE SAS,https://www.ecoregistry.io/projects/CDC-17,cercarbono
CCB18,Carbono Refosinu,Reforestadora del Sinú S.C.,https://www.ecoregistry.io/projects/CDC-18,cercarbono
CCB19,CARBONO OXIGENO PARA TODOS,INVERSIONES FORESTALES LA CABAÑA SAS,https://www.ecoregistry.io/projects/CDC-19,cercarbono
CCB20,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-20,cercarbono
CCB21,CARBONO NEGOCIOS AGROFORESTALES ,Negocios Agroforestales S.A.S,https://www.ecoregistry.io/projects/CDC-21,cercarbono
CCB22,Proyecto Conservación ARLEQUÍN REDD+,BIOFIX CONSULTORIA S.A.S BIC,https://www.ecoregistry.io/projects/CDC-22,cercarbono
CCB23,Carbono Bagatela,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-23,cercarbono
CCB24,Carbono Reforesta,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-24,cercarbono
CCB25,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",Sociedad Agropecuaria YUMA SAS,https://www.ecoregistry.io/projects/CDC-25,cercarbono
CCB26,MultiAntioquia,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-26,cercarbono
CCB27,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en los municipios de Sucre y el Peñón Santander, Colombia.",Grama Industria Agrícola S.A.,https://www.ecoregistry.io/projects/CDC-27,cercarbono
