grupo,n_municipios,n_tratados,n_validos_outcome,att,se,ic_inf,ic_sup
Andina,629,51,504,9.270228141972924e-5,5.185568406192008e-4,-9.236691261939042e-4,0.0011090736890333626
Caribe,197,9,174,0.0020487957732404733,0.0018099858332916376,-0.0014987764600111362,0.005596368006492083
Pacífica,178,21,178,6.762911015120798e-4,3.0164706441752686e-4,8.506285525372711e-5,0.0012675193477704324
Orinoquía,59,9,59,-6.014836532327296e-4,0.001000936595771916,-0.002563319380945685,0.0013603520744802258
Amazonía,58,9,58,-0.001631562876312168,4.99091292290709e-4,-0.0026097818092019574,-6.533439434223784e-4
