grupo,n_municipios,n_tratados,att,se,ic_inf,ic_sup
Andina,629,45,3.0628316754131135,8.511010476824723,-13.618748859163341,19.74441220998957
Caribe,197,7,38.6636867643193,88.18862609070746,-134.18602037346733,211.51339390210592
Pacífica,178,19,-63.324376294966214,115.70601404937835,-290.1081638317478,163.45941124181536
Orinoquía,59,9,-223.14134163793477,223.34722275487124,-660.9018982374823,214.61921496161284
Amazonía,58,8,-1297.40751789945,809.5250725416932,-2884.076660081169,289.2616242822687
