grupo,n_municipios,n_tratados,n_validos_outcome,att,se,ic_inf,ic_sup
Andina,629,45,504,-2.3700736037470817e-4,6.514140916722348e-4,-0.0015137789800522884,0.001039764259302872
Caribe,197,7,174,9.744050863426586e-4,0.002809875846235655,-0.004532951572279225,0.006481761744964543
Pacífica,178,19,178,5.411111800664211e-4,3.400982099589163e-4,-1.2548131145305485e-4,0.0012077036715858972
Orinoquía,59,9,59,-6.014836532327296e-4,0.001000936595771916,-0.002563319380945685,0.0013603520744802258
Amazonía,58,8,58,-0.00176512574239021,5.447228864778603e-4,-0.0028327825998868163,-6.974688848936038e-4
