grupo,outcome,n_municipios,n_con_outcome,n_tratados,att,se,ic_inf,ic_sup
Andina,tasa_deforestacion,629,629,45,4.421360218396079e-4,4.6918114487899904e-4,-4.774590221232302e-4,0.001361731065802446
Caribe,tasa_deforestacion,197,197,7,0.0012071170715910447,0.002299469169234744,-0.003299842500109054,0.005714076643291143
Pacífica,tasa_deforestacion,178,178,19,5.411111800664211e-4,3.400982099589163e-4,-1.2548131145305485e-4,0.0012077036715858972
Orinoquía,tasa_deforestacion,59,59,9,-6.014836532327296e-4,0.0010009365957719158,-0.0025633193809456844,0.0013603520744802254
Amazonía,tasa_deforestacion,58,58,8,-0.0017651257423902098,5.447228864778603e-4,-0.0028327825998868163,-6.974688848936036e-4
