grupo,n_municipios,n_tratados,att,se,ic_inf,ic_sup
Andina,629,51,-2.2128650994532895,13.764309256743303,-29.19091124267016,24.765181043763583
Caribe,197,9,66.1617678817362,46.64945373146375,-25.271161431932754,157.59469719540516
Pacífica,178,21,-51.59129124777487,97.62514797220028,-242.93658127328743,139.75399877773768
Orinoquía,59,9,-223.14134163793477,223.34722275487124,-660.9018982374823,214.61921496161284
Amazonía,58,9,-1119.1448784546228,702.3298332018568,-2495.711351530262,257.42159462101654
