cohorte,n_nominal,n_sin_bosque_base,n_efectivo_tasa,pct_perdido
2002,2,0,2,0
2006,1,0,1,0
2007,1,0,1,0
2010,2,0,2,0
2011,3,0,3,0
2012,3,0,3,0
2013,6,0,6,0
2014,10,0,10,0
2015,8,0,8,0
2016,7,0,7,0
2017,11,0,11,0
2018,6,0,6,0
2019,7,0,7,0
2020,2,0,2,0
2021,5,0,5,0
2022,8,0,8,0
2023,3,0,3,0
2024,2,0,2,0
2025,1,0,1,0
