especificacion,att,se,n_excluidos
Confianza alta - con cohortes tempranas,-56.40417293527891,79.84578774060859,0
Confianza alta - sin cohortes tempranas,-58.90918112709525,84.80641065545014,2
Todas las fuentes - con cohortes tempranas,-50.79372174363992,69.74694852056481,0
Todas las fuentes - sin cohortes tempranas,-54.47975536929628,74.78205329916756,3
