grupo,outcome,n_municipios,n_con_outcome,n_tratados,att,se,ic_inf,ic_sup
Andina,tasa_deforestacion,629,629,51,4.1503701025763864e-4,3.9216417800635615e-4,-3.5360477863481937e-4,0.0011836787991500966
Caribe,tasa_deforestacion,197,197,9,0.0030906680005539505,0.0015775459606121697,-1.3220822459021446e-6,0.006182658083353804
Pacífica,tasa_deforestacion,178,178,21,6.762911015120798e-4,3.016470644175268e-4,8.506285525372722e-5,0.0012675193477704322
Orinoquía,tasa_deforestacion,59,59,9,-6.014836532327296e-4,0.0010009365957719158,-0.0025633193809456844,0.0013603520744802254
Amazonía,tasa_deforestacion,58,58,9,-0.001631562876312168,4.99091292290709e-4,-0.0026097818092019574,-6.533439434223784e-4
