grupo,outcome,n_municipios,n_con_outcome,n_tratados,att,se,ic_inf,ic_sup
IPM bajo (menos pobreza),tasa_deforestacion,557,557,44,5.042701904749363e-4,4.2164014699045007e-4,-3.2214449762634585e-4,0.0013306848785762185
IPM alto (más pobreza),tasa_deforestacion,556,556,53,1.2557512628571534e-4,5.118990787796652e-4,-8.777470681224284e-4,0.001128897320693859
