grupo,outcome,n_municipios,n_con_outcome,n_tratados,att,se,ic_inf,ic_sup
Andina,loss_area_ha,629,629,45,-6.022771018651624,44.629364481049876,-93.49632540150938,81.45078336420613
Caribe,loss_area_ha,197,197,7,38.33668082539322,87.72758305865194,-133.6093819695646,210.28274362035103
Pacífica,loss_area_ha,178,178,19,-63.324376294966214,115.70601404937835,-290.1081638317478,163.45941124181536
Orinoquía,loss_area_ha,59,59,9,-223.1413416379348,223.3472227548713,-660.9018982374826,214.61921496161293
Amazonía,loss_area_ha,58,58,8,-1297.40751789945,809.5250725416932,-2884.076660081169,289.2616242822687
